time,hdin
01/01,137.98708
01/02,137.79514
01/03,138.44615
01/04,138.60706
01/05,138.29303
01/06,138.06137
01/07,138.32639
01/08,138.45995
01/09,138.842
01/10,139.05457
01/11,138.85974
01/12,139.01697
01/13,138.62634
01/14,138.50392
01/15,138.68263
01/16,138.73767
01/17,139.0484
01/18,139.4788
01/19,139.44997
01/20,139.37158
01/21,139.2083
01/22,138.85341
01/23,139.53148
01/24,139.52255
01/25,138.91748
01/26,139.62863
01/27,139.07484
01/28,139.31224
01/29,139.28822
01/30,140.15938
01/31,140.78772
02/01,140.71355
02/02,140.81155
02/03,141.11249
02/04,141.30966
02/05,141.92026
02/06,142.19589
02/07,142.40985
02/08,143.14215
02/09,142.87529
02/10,143.34483
02/11,143.39177
02/12,142.27666
02/13,142.85672
02/14,143.15544
02/15,142.07295
02/16,142.29665
02/17,142.91321
02/18,143.25772
02/19,142.99918
02/20,143.94499
02/21,144.09552
02/22,143.60432
02/23,143.4619
02/24,143.33134
02/25,144.06818
02/26,144.24802
02/27,144.26343
02/28,144.87292
02/29,144.86617
03/01,144.67163
03/02,144.2866
03/03,142.84396
03/04,143.20415
03/05,143.65753
03/06,142.6202
03/07,142.74748
03/08,142.66505
03/09,143.72119
03/10,143.44415
03/11,143.86653
03/12,144.53009
03/13,144.58167
03/14,144.65117
03/15,145.10619
03/16,144.957
03/17,143.35959
03/18,143.61237
03/19,143.80042
03/20,144.07399
03/21,144.18172
03/22,143.2366
03/23,143.50961
03/24,143.83977
03/25,143.50134
03/26,142.95998
03/27,144.86467
03/28,144.61775
03/29,144.30397
03/30,144.25333
03/31,143.95412
04/01,143.97063
04/02,143.68555
04/03,143.65794
04/04,144.08528
04/05,144.03714
04/06,143.57748
04/07,143.30412
04/08,143.74213
04/09,143.64192
04/10,143.34415
04/11,143.25389
04/12,144.62387
04/13,143.87292
04/14,143.45834
04/15,143.40378
04/16,143.187
04/17,143.28464
04/18,143.3887
04/19,143.2237
04/20,143.11995
04/21,142.52959
04/22,142.17084
04/23,142.70355
04/24,142.6418
04/25,142.20049
04/26,141.7447
04/27,141.26863
04/28,142.00124
04/29,142.20557
04/30,141.5997
05/01,140.88951
05/02,141.0963
05/03,141.24486
05/04,140.91017
05/05,140.81061
05/06,140.67323
05/07,140.88551
05/08,140.88481
05/09,140.6432
05/10,140.62843
05/11,140.45155
05/12,140.50148
05/13,140.07175
05/14,140.64984
05/15,140.7401
05/16,140.48431
05/17,140.18979
05/18,140.59474
05/19,140.2603
05/20,140.12022
05/21,140.33005
05/22,140.70723
05/23,140.71333
05/24,140.24628
05/25,140.38016
05/26,140.45285
05/27,140.45877
05/28,140.18602
05/29,140.06705
05/30,139.65668
05/31,139.32924
06/01,139.53337
06/02,139.39244
06/03,139.0091
06/04,138.90051
06/05,138.82025
06/06,138.64774
06/07,138.83208
06/08,138.94531
06/09,138.31198
06/10,138.23279
06/11,138.44894
06/12,138.17378
06/13,137.98235
06/14,138.69315
06/15,139.4326
06/16,139.08215
06/17,138.57123
06/18,138.05536
06/19,138.19408
06/20,138.75385
06/21,138.5521
06/22,138.37448
06/23,138.56462
06/24,138.62874
06/25,138.38252
06/26,138.06328
06/27,138.66846
06/28,138.1842
06/29,137.392
06/30,137.61203
07/01,137.81076
07/02,137.68466
07/03,137.20377
07/04,137.3869
07/05,137.61638
07/06,137.82909
07/07,136.97707
07/08,136.98955
07/09,136.63835
07/10,136.35608
07/11,136.11026
07/12,136.21298
07/13,135.72536
07/14,135.4224
07/15,135.58125
07/16,135.73502
07/17,135.80844
07/18,135.98232
07/19,135.66316
07/20,135.51767
07/21,135.47401
07/22,135.77713
07/23,135.45338
07/24,135.4283
07/25,135.28961
07/26,135.1044
07/27,135.0729
07/28,135.07603
07/29,135.33229
07/30,134.82266
07/31,135.37177
08/01,135.6368
