time,hdin
01/01,91.95974
01/02,91.991
01/03,91.57931
01/04,91.56262
01/05,91.25945
01/06,90.82244
01/07,90.87644
01/08,91.75974
01/09,91.4251
01/10,90.841774
01/11,90.63683
01/12,91.178825
01/13,91.51678
01/14,91.044395
01/15,91.030365
01/16,90.42345
01/17,90.6598
01/18,91.29406
01/19,91.49482
01/20,91.445854
01/21,91.10842
01/22,91.44181
01/23,92.50038
01/24,92.418205
01/25,92.700096
01/26,92.937325
01/27,92.71632
01/28,92.46926
01/29,92.78008
01/30,92.35207
01/31,92.419464
02/01,92.44927
02/02,91.84301
02/03,91.489586
02/04,91.73533
02/05,91.77077
02/06,91.61076
02/07,91.52773
02/08,91.32474
02/09,91.60187
02/10,91.51035
02/11,92.0029
02/12,92.21365
02/13,91.64214
02/14,92.0705
02/15,92.16527
02/16,92.30047
02/17,92.078606
02/18,92.05698
02/19,90.890785
02/20,90.77813
02/21,90.87112
02/22,90.59001
02/23,90.61146
02/24,91.034836
02/25,91.07733
02/26,91.40289
02/27,90.67644
02/28,90.35192
02/29,90.51904
03/01,90.601204
03/02,90.27906
03/03,90.41125
03/04,90.52345
03/05,90.25132
03/06,89.89037
03/07,89.97868
03/08,90.29228
03/09,90.74694
03/10,90.20484
03/11,90.03118
03/12,89.421936
03/13,89.95288
03/14,90.12495
03/15,89.70605
03/16,89.08091
03/17,89.78852
03/18,90.25496
03/19,90.75336
03/20,91.08187
03/21,90.06555
03/22,89.660034
03/23,89.58265
03/24,90.10347
03/25,90.57269
03/26,90.79758
03/27,90.61066
03/28,90.52081
03/29,90.45839
03/30,90.84434
03/31,91.51269
04/01,91.04889
04/02,90.6827
04/03,90.93058
04/04,91.265564
04/05,91.264175
04/06,90.917625
04/07,91.16744
04/08,90.78165
04/09,90.74031
04/10,91.11904
04/11,91.17192
04/12,90.80412
04/13,91.5212
04/14,90.44824
04/15,90.36041
04/16,90.705536
04/17,90.343124
04/18,90.31648
04/19,89.88945
04/20,90.1996
04/21,90.48838
04/22,90.50138
04/23,91.17256
04/24,90.879745
04/25,90.38909
04/26,90.53536
04/27,90.7006
04/28,91.11802
04/29,90.343544
04/30,90.28387
05/01,90.25012
05/02,90.229935
05/03,90.75664
05/04,90.57136
05/05,90.711754
05/06,90.21772
05/07,90.39939
05/08,90.61549
05/09,90.49654
05/10,89.79146
05/11,90.71952
05/12,91.194016
05/13,91.08801
05/14,90.44351
05/15,90.2316
05/16,89.867874
05/17,90.156105
05/18,89.78414
05/19,90.257835
05/20,90.652306
05/21,90.29771
05/22,90.453026
05/23,90.66288
05/24,90.85677
05/25,91.33528
05/26,90.98809
05/27,90.58998
05/28,90.79793
05/29,90.50011
05/30,90.66044
05/31,91.113174
06/01,91.01151
06/02,90.96492
06/03,91.08072
06/04,90.864914
06/05,91.19761
06/06,91.8398
06/07,91.9389
06/08,91.94167
06/09,91.25344
06/10,90.47728
06/11,91.63676
06/12,92.484726
06/13,91.95623
06/14,92.07237
06/15,91.72899
06/16,92.03628
06/17,92.733475
06/18,92.86379
06/19,91.65443
06/20,90.87732
06/21,90.86881
06/22,91.09883
06/23,90.975586
06/24,91.19502
06/25,90.80231
06/26,90.53487
06/27,91.36546
06/28,91.194855
06/29,91.364655
06/30,92.08034
07/01,91.96629
07/02,92.02545
07/03,91.746025
07/04,91.477394
07/05,91.553734
07/06,91.909805
07/07,91.36374
07/08,91.18662
07/09,92.10598
07/10,91.586624
07/11,91.50937
07/12,91.03214
07/13,91.48948
07/14,91.34137
07/15,91.59858
07/16,91.350494
07/17,90.60818
07/18,90.147415
07/19,89.56239
07/20,89.30357
07/21,89.52846
07/22,89.39911
07/23,89.39701
07/24,89.34218
07/25,89.3474
07/26,88.94606
07/27,89.182045
07/28,89.563225
07/29,89.27894
07/30,89.70634
07/31,90.18778
08/01,90.02902
08/02,89.72351
08/03,88.97637
08/04,88.98246
08/05,89.59434
08/06,89.45033
08/07,88.7895
08/08,88.823814
08/09,88.59231
08/10,88.11577
08/11,88.47567
08/12,88.76505
08/13,88.66749
08/14,88.27925
08/15,88.17531
08/16,87.588
08/17,87.36495
08/18,88.21611
08/19,89.0265
08/20,88.91479
08/21,88.36434
08/22,88.28625
08/23,88.27414
08/24,88.685555
08/25,88.41198
08/26,88.533966
08/27,88.211235
08/28,88.51236
08/29,88.79314
08/30,89.09478
08/31,89.009026
09/01,89.46202
09/02,89.23375
09/03,89.71152
09/04,90.01442
09/05,89.46673
09/06,89.4388
09/07,89.16092
09/08,89.19347
09/09,89.00044
09/10,89.484505
09/11,89.56798
09/12,89.06595
09/13,89.18667
09/14,90.45901
09/15,89.91107
09/16,90.389534
09/17,90.55691
09/18,90.91645
09/19,90.63797
09/20,91.33586
09/21,91.418884
09/22,91.45952
09/23,91.012794
09/24,90.73428
09/25,90.76569
09/26,90.763435
09/27,91.1471
09/28,91.25307
09/29,90.72293
09/30,90.26962
10/01,89.71613
10/02,90.03251
10/03,90.4608
10/04,90.8305
10/05,90.55785
