time,hdin
01/01,139.78847
01/02,139.95966
01/03,139.30348
01/04,138.9783
01/05,139.19762
01/06,139.15106
01/07,138.8546
01/08,138.61539
01/09,138.86469
01/10,138.7709
01/11,139.18573
01/12,139.16322
01/13,139.38069
01/14,140.13889
01/15,139.8203
01/16,138.73463
01/17,139.4067
01/18,139.38245
01/19,138.99371
01/20,139.54741
01/21,139.86
01/22,139.75749
01/23,139.9638
01/24,139.63602
01/25,139.45349
01/26,139.32411
01/27,139.22855
01/28,139.62221
01/29,138.99911
01/30,139.46678
01/31,139.82071
02/01,139.46646
02/02,139.38333
02/03,139.61499
02/04,140.0602
02/05,140.03766
02/06,140.0184
02/07,139.8745
02/08,140.64702
02/09,140.25735
02/10,139.77956
02/11,140.07272
02/12,140.47426
02/13,140.49843
02/14,140.99104
02/15,141.28404
02/16,141.05188
02/17,140.40541
02/18,141.38747
02/19,141.66014
02/20,141.84766
02/21,141.86716
02/22,142.35799
02/23,143.27611
02/24,142.83548
02/25,142.60248
02/26,142.99815
02/27,143.35147
02/28,143.0872
02/29,144.41444
03/01,143.4
03/02,143.51176
03/03,143.58223
03/04,143.47397
03/05,143.81499
03/06,143.51506
03/07,143.40236
03/08,144.05357
03/09,143.85953
03/10,143.87035
03/11,143.62163
03/12,143.28297
03/13,143.47466
03/14,143.76868
03/15,143.5251
03/16,143.5592
03/17,144.26268
03/18,143.87761
03/19,143.79959
03/20,143.97319
03/21,144.13956
03/22,144.11745
03/23,143.83554
03/24,144.11479
03/25,144.43858
03/26,143.82585
03/27,143.46822
03/28,143.92946
03/29,143.96864
03/30,143.63806
03/31,143.33528
04/01,143.49896
04/02,143.99898
04/03,144.15575
04/04,143.82103
04/05,143.88809
04/06,144.16663
04/07,144.18895
04/08,144.6097
04/09,144.83061
04/10,144.716
04/11,144.76456
04/12,144.44658
04/13,144.43117
04/14,144.2764
04/15,144.38838
04/16,144.05357
04/17,144.25668
04/18,143.93391
04/19,144.32661
04/20,144.1376
04/21,143.96892
04/22,144.39053
04/23,144.08823
04/24,143.62149
04/25,143.72972
04/26,143.85974
04/27,143.97766
04/28,143.87895
04/29,143.5097
04/30,143.46808
05/01,143.99812
05/02,143.58847
05/03,143.49536
05/04,143.44691
05/05,143.2486
05/06,143.01698
05/07,142.81259
05/08,143.07982
05/09,143.34558
05/10,142.51593
05/11,142.78368
05/12,143.1813
05/13,142.90927
05/14,142.56035
