time,hdin
01/01,105.51494
01/02,105.31044
01/03,105.40622
01/04,105.29589
01/05,106.05154
01/06,105.77692
01/07,105.83673
01/08,105.95019
01/09,105.92955
01/10,106.55509
01/11,106.26776
01/12,106.349495
01/13,106.683975
01/14,106.32508
01/15,106.27263
01/16,106.552414
01/17,106.16636
01/18,106.03988
01/19,105.658936
01/20,105.67231
01/21,105.46433
01/22,105.71468
01/23,105.45957
01/24,105.53541
01/25,105.54937
01/26,105.007545
01/27,105.54926
01/28,104.951096
01/29,104.91935
01/30,105.71723
01/31,105.01813
02/01,105.19955
02/02,105.394295
02/03,105.42087
02/04,105.27415
02/05,104.91178
02/06,105.04038
02/07,104.66463
02/08,104.76435
02/09,104.830246
02/10,104.86464
02/11,104.92261
02/12,104.83667
02/13,104.98792
02/14,104.78125
02/15,104.51104
02/16,104.79004
02/17,104.863174
02/18,104.88485
02/19,105.1432
02/20,105.58241
02/21,105.660545
02/22,105.42399
02/23,105.81063
02/24,105.87354
02/25,105.98489
02/26,105.83628
02/27,106.16252
02/28,105.99492
02/29,104.50431
03/01,105.88103
03/02,106.06757
03/03,106.592995
03/04,106.17722
03/05,106.74726
03/06,107.08692
03/07,106.74504
03/08,107.49645
03/09,107.30607
03/10,107.48655
03/11,107.50543
03/12,107.92513
03/13,108.06809
03/14,108.294495
03/15,107.93268
03/16,108.356125
03/17,108.28865
03/18,108.067764
03/19,108.31369
03/20,108.209175
03/21,108.162674
03/22,108.15978
03/23,107.96467
03/24,108.24899
03/25,108.029465
03/26,107.985306
03/27,108.0088
03/28,108.14846
03/29,108.0461
03/30,108.249664
03/31,108.388115
04/01,108.60218
04/02,108.66243
04/03,108.601974
04/04,108.991936
04/05,108.934105
04/06,109.19575
04/07,109.251465
04/08,109.4544
04/09,109.64486
04/10,109.80334
04/11,109.711624
04/12,109.87988
04/13,109.99727
04/14,110.13173
04/15,110.19268
04/16,110.42147
04/17,110.30965
04/18,110.312225
04/19,110.400986
04/20,110.670944
04/21,110.48818
04/22,110.439896
04/23,110.72497
04/24,111.039856
04/25,110.77653
04/26,110.595695
04/27,110.847946
04/28,110.88662
04/29,110.50074
04/30,110.59785
05/01,110.66506
05/02,110.75583
05/03,110.40357
05/04,110.716034
05/05,111.08065
05/06,110.82584
05/07,111.22317
05/08,110.951416
05/09,111.11916
05/10,111.36135
05/11,110.929886
05/12,110.6671
05/13,111.247284
05/14,110.42778
05/15,110.68405
05/16,110.29985
05/17,110.39548
05/18,110.112144
05/19,110.09451
05/20,109.71946
05/21,109.843315
05/22,109.72431
05/23,109.30178
05/24,109.39988
05/25,109.35469
05/26,108.779305
05/27,109.10973
05/28,108.73524
05/29,108.7547
05/30,108.37195
05/31,107.988945
06/01,108.19163
06/02,107.520454
06/03,107.63066
06/04,107.80179
06/05,107.65731
06/06,107.35717
06/07,107.36738
06/08,107.13051
06/09,106.970314
06/10,107.023705
06/11,107.05548
06/12,106.73555
06/13,106.39477
06/14,106.513
06/15,105.94954
06/16,105.989655
06/17,105.81858
06/18,105.517845
06/19,105.29433
06/20,105.33146
06/21,105.16623
06/22,105.351234
06/23,104.9301
06/24,105.1932
06/25,104.76229
06/26,104.82017
06/27,105.17861
06/28,104.68056
06/29,104.48296
06/30,104.693306
07/01,104.4956
07/02,104.621956
07/03,104.36019
07/04,104.683
07/05,104.32693
07/06,103.95342
07/07,104.0242
07/08,103.98465
07/09,103.96774
07/10,103.73474
07/11,103.86524
07/12,103.863075
07/13,104.111694
07/14,103.80579
07/15,103.90375
07/16,103.972534
07/17,103.87258
07/18,103.72938
07/19,103.84969
07/20,103.99881
07/21,104.08555
07/22,103.96879
07/23,104.1662
07/24,104.74804
07/25,104.2118
07/26,104.5517
07/27,104.708305
07/28,104.66391
07/29,105.03415
07/30,105.02314
07/31,104.94874
08/01,105.306244
08/02,105.69858
08/03,105.6893
08/04,105.463844
08/05,105.82604
08/06,106.04734
08/07,105.91403
08/08,106.56079
08/09,106.37136
08/10,106.53599
08/11,106.507835
08/12,106.70583
08/13,106.93251
08/14,106.672325
08/15,107.25271
08/16,107.7176
08/17,107.48762
08/18,108.06375
08/19,107.89739
08/20,108.295715
08/21,108.23452
08/22,108.565926
08/23,108.884026
08/24,108.30534
08/25,108.93311
08/26,108.87878
08/27,108.71161
08/28,109.14626
08/29,109.22642
08/30,109.73776
08/31,109.699684
09/01,109.91571
09/02,110.089836
09/03,109.98616
09/04,110.205154
09/05,110.33646
09/06,110.34061
09/07,110.41291
09/08,110.570274
09/09,109.879005
09/10,110.28121
09/11,110.215294
09/12,110.54408
09/13,110.36859
09/14,110.383156
09/15,110.751465
09/16,110.18978
09/17,110.40039
09/18,110.50558
09/19,110.38992
09/20,110.110146
09/21,109.51215
09/22,109.63899
09/23,108.638794
09/24,108.23662
09/25,109.206436
09/26,109.049774
09/27,108.55708
09/28,108.76821
09/29,108.58241
09/30,108.60413
10/01,108.09229
10/02,108.35567
10/03,107.945724
10/04,108.13328
10/05,107.81011
10/06,108.2966
10/07,108.563484
10/08,108.469734
10/09,109.01417
10/10,109.51597
10/11,109.55213
10/12,109.966415
10/13,110.09585
10/14,110.73374
10/15,110.62589
10/16,111.55761
10/17,111.53776
10/18,111.07104
10/19,111.15696
10/20,111.836716
10/21,111.34625
10/22,111.46783
10/23,111.24621
10/24,110.88123
10/25,111.18552
10/26,111.42784
10/27,110.689186
10/28,111.15416
10/29,111.208244
10/30,110.36248
10/31,111.2684
11/01,110.84189
11/02,110.697716
11/03,110.52317
11/04,110.17245
11/05,110.419556
11/06,110.31241
11/07,109.99204
11/08,109.50016
11/09,109.486694
11/10,110.31551
11/11,110.21737
11/12,109.08485
11/13,108.82697
11/14,108.655846
11/15,108.81005
11/16,108.02035
11/17,107.730064
11/18,108.03626
11/19,107.358894
11/20,106.85878
11/21,106.56199
11/22,106.90853
11/23,106.43055
11/24,106.08122
11/25,106.26191
11/26,106.58789
11/27,106.49968
11/28,106.41083
11/29,106.75698
11/30,106.72513
12/01,106.538635
12/02,106.31551
12/03,106.59815
12/04,106.629425
12/05,106.57633
12/06,106.3811
12/07,106.300835
12/08,106.53454
12/09,106.37815
12/10,106.265305
12/11,106.3451
12/12,106.1811
12/13,105.98213
12/14,105.56469
12/15,106.03406
12/16,105.862305
12/17,105.46976
