time,iso20
01/01,98.149826
01/02,98.418434
01/03,100.8585
01/04,97.17997
01/05,96.51443
01/06,95.30044
01/07,92.13287
01/08,94.659004
01/09,94.18178
01/10,94.653824
01/11,94.19664
01/12,94.93614
01/13,98.8938
01/14,96.85601
01/15,95.23602
01/16,95.14876
01/17,94.7972
01/18,94.75792
01/19,94.368515
01/20,95.620285
01/21,93.78893
01/22,92.109
01/23,93.11955
01/24,92.23495
01/25,91.30876
01/26,91.69501
01/27,90.89403
01/28,87.544785
01/29,87.34503
01/30,89.81477
01/31,90.56756
02/01,89.71823
02/02,88.60069
02/03,86.77274
02/04,85.66188
02/05,86.70687
02/06,84.471016
02/07,83.65605
02/08,84.33345
02/09,84.83946
02/10,85.824684
02/11,83.249435
02/12,82.65361
02/13,82.12221
02/14,79.47763
02/15,81.34828
02/16,81.90789
02/17,82.04824
02/18,81.85763
02/19,79.63456
02/20,78.871315
02/21,80.34643
02/22,80.86334
02/23,79.14071
02/24,78.92009
02/25,79.59158
02/26,77.68439
02/27,77.35557
02/28,78.49219
02/29,82.68174
03/01,77.527084
03/02,79.19256
03/03,77.271614
03/04,75.89532
03/05,77.62186
03/06,75.272285
03/07,73.95901
03/08,74.277565
03/09,74.70497
03/10,74.36857
03/11,73.905754
03/12,73.51745
03/13,74.98972
03/14,73.7556
03/15,72.54347
03/16,72.14696
03/17,72.51159
03/18,71.265976
03/19,73.01389
03/20,72.324875
03/21,71.19894
03/22,69.17354
03/23,70.98916
03/24,69.86589
03/25,69.6704
03/26,70.21377
03/27,68.29753
03/28,70.542534
03/29,70.77217
03/30,69.99416
03/31,69.19694
04/01,68.346
04/02,70.21813
04/03,70.075066
04/04,68.92167
04/05,69.439415
04/06,69.12932
04/07,69.259735
04/08,68.28977
04/09,68.55866
04/10,68.50606
04/11,68.03877
04/12,68.15295
04/13,69.128174
04/14,69.59507
04/15,68.68976
04/16,69.37066
04/17,68.19781
04/18,69.35224
04/19,72.06524
04/20,71.284294
04/21,71.41784
04/22,71.286026
04/23,72.653465
04/24,72.02672
04/25,71.93633
04/26,71.60398
04/27,72.78236
04/28,71.72612
04/29,70.481445
04/30,71.90305
05/01,70.820564
05/02,70.74553
05/03,72.13037
05/04,74.48234
05/05,73.16558
05/06,71.77137
