time,iso20
01/01,116.22017
01/02,114.5523
01/03,116.2635
01/04,116.85481
01/05,114.18603
01/06,114.16752
01/07,116.16291
01/08,115.21735
01/09,114.71376
01/10,115.285576
01/11,114.690926
01/12,114.65357
01/13,116.50475
01/14,115.55364
01/15,115.102844
01/16,115.453064
01/17,115.548225
01/18,116.53031
01/19,116.043625
01/20,116.097786
01/21,116.53518
01/22,115.38776
01/23,116.28681
01/24,116.49365
01/25,116.62652
01/26,116.682594
01/27,116.02376
01/28,116.38549
01/29,115.11583
01/30,113.77898
01/31,115.542885
02/01,115.75314
02/02,114.82395
02/03,112.58586
02/04,113.69472
02/05,113.85698
02/06,112.94773
02/07,112.315315
02/08,111.170746
02/09,111.2882
02/10,111.674225
02/11,112.9633
02/12,111.15789
02/13,112.074646
02/14,110.04197
02/15,110.11876
02/16,109.14753
02/17,109.5012
02/18,108.681694
02/19,110.79859
02/20,107.91931
02/21,109.086205
02/22,108.37604
02/23,107.24406
02/24,108.071
02/25,106.1687
02/26,106.93304
02/27,106.32259
02/28,106.165504
02/29,101.885445
03/01,106.95168
03/02,105.0883
03/03,104.185104
03/04,104.54907
03/05,105.47648
03/06,106.62716
03/07,106.56802
03/08,105.158005
03/09,105.46959
03/10,104.41808
03/11,106.74482
03/12,106.495384
03/13,104.814285
03/14,105.10745
03/15,103.73829
03/16,103.052124
03/17,102.937355
03/18,101.055176
03/19,99.11567
03/20,99.034904
03/21,98.75224
03/22,97.98809
03/23,97.256676
03/24,98.2528
03/25,98.20297
03/26,98.421684
03/27,97.083916
03/28,97.98156
03/29,98.08349
03/30,96.19387
03/31,97.244865
04/01,97.56329
04/02,96.67492
04/03,96.90495
04/04,96.15179
04/05,98.13598
04/06,97.030495
04/07,96.47462
04/08,97.36163
04/09,96.00321
04/10,96.38744
04/11,96.57615
04/12,96.598114
04/13,96.404205
04/14,96.579926
04/15,95.77042
04/16,95.97054
04/17,96.553276
04/18,95.40504
04/19,94.88253
04/20,94.00077
04/21,92.99894
04/22,94.41403
04/23,93.84109
04/24,94.13423
04/25,90.98951
04/26,92.48894
04/27,91.679596
04/28,90.603546
04/29,91.91594
04/30,91.26392
05/01,92.14342
05/02,92.051575
05/03,89.50593
05/04,90.060905
05/05,91.697624
05/06,91.48954
05/07,89.65107
05/08,91.2041
05/09,92.31241
05/10,91.57873
05/11,90.78998
05/12,91.771645
05/13,91.925
05/14,90.96258
05/15,90.92124
05/16,91.282875
05/17,90.97664
05/18,89.89911
05/19,90.17512
05/20,92.411354
05/21,92.10801
05/22,91.5984
