time,iso20
01/01,196.60158
01/02,195.67752
01/03,196.13889
01/04,195.9318
01/05,196.27213
01/06,198.15463
01/07,197.47691
01/08,196.3164
01/09,197.8182
01/10,199.90749
01/11,199.23183
01/12,198.002
01/13,198.69736
01/14,198.99586
01/15,200.2969
01/16,198.36993
01/17,198.22136
01/18,200.076
01/19,198.7445
01/20,197.66501
01/21,199.78902
01/22,198.25848
01/23,198.44154
01/24,199.6226
01/25,200.42139
01/26,199.29207
01/27,199.92816
01/28,201.57599
01/29,200.7713
01/30,202.29007
01/31,202.26292
02/01,202.84184
02/02,204.74593
02/03,204.29475
02/04,204.89879
02/05,205.10103
02/06,204.15344
02/07,204.72235
02/08,205.10083
02/09,206.93013
02/10,206.41899
02/11,207.28076
02/12,204.5212
02/13,205.8936
02/14,206.68088
02/15,204.3415
02/16,203.8979
02/17,205.87543
02/18,206.70723
02/19,204.6397
02/20,205.93924
02/21,207.24615
02/22,207.20003
02/23,206.7034
02/24,207.73764
02/25,208.4665
02/26,207.89232
02/27,208.05937
02/28,208.0818
02/29,207.48557
03/01,208.30269
03/02,208.12102
03/03,208.2195
03/04,207.77528
03/05,206.94211
03/06,207.37602
03/07,207.16985
03/08,206.51494
03/09,206.1558
03/10,206.75244
03/11,206.86168
03/12,207.3171
03/13,206.69359
03/14,207.35716
03/15,209.18057
03/16,210.3347
03/17,209.91977
03/18,210.04259
03/19,209.88736
03/20,211.97966
03/21,211.04832
03/22,210.3531
03/23,210.3246
03/24,211.20825
03/25,211.90393
03/26,208.58427
03/27,208.89453
03/28,208.5067
03/29,209.48997
03/30,207.76599
03/31,207.05524
04/01,207.76312
04/02,208.37701
04/03,207.89526
04/04,207.79506
04/05,210.26073
04/06,210.36525
04/07,210.20341
04/08,211.2642
04/09,212.15663
04/10,211.40831
04/11,210.52641
04/12,210.52025
04/13,209.94781
04/14,208.75948
04/15,209.21411
04/16,208.90157
04/17,207.55345
04/18,207.0653
04/19,205.5342
04/20,205.01045
04/21,204.65051
04/22,204.18675
04/23,202.74191
04/24,202.46846
04/25,204.11638
04/26,204.15749
04/27,204.07951
04/28,204.27623
04/29,204.54744
04/30,204.73238
05/01,205.5868
05/02,204.91138
05/03,204.39536
05/04,204.56078
05/05,204.7691
05/06,204.65422
05/07,203.85289
05/08,202.95906
05/09,202.77745
05/10,203.37416
05/11,201.55298
05/12,201.0084
05/13,201.38136
05/14,202.72298
05/15,201.16266
05/16,201.10315
05/17,200.96916
05/18,201.45807
05/19,201.63878
05/20,201.10693
05/21,200.92798
05/22,200.99712
05/23,200.65553
05/24,200.6258
05/25,201.30241
05/26,202.02531
05/27,201.16475
05/28,201.9605
05/29,201.78589
05/30,200.0471
05/31,200.24637
06/01,199.86768
06/02,198.33484
06/03,197.06197
06/04,197.64471
06/05,196.81868
06/06,197.21297
06/07,196.16362
06/08,196.12212
06/09,194.61636
06/10,194.114
06/11,193.69122
06/12,193.82324
06/13,192.7818
06/14,193.06079
06/15,192.61108
06/16,192.18776
06/17,192.30815
06/18,192.04555
06/19,191.947
06/20,191.0581
06/21,191.46118
06/22,190.99171
06/23,191.76549
06/24,190.59715
06/25,190.37648
06/26,188.74112
06/27,189.14003
06/28,189.97707
06/29,189.40443
06/30,187.3671
07/01,188.01715
07/02,187.74075
07/03,187.41635
07/04,186.61943
07/05,186.53944
07/06,186.68652
07/07,187.46922
07/08,187.32187
07/09,187.54672
07/10,187.17508
07/11,188.21344
07/12,188.09354
07/13,187.41125
07/14,187.4745
07/15,188.24567
07/16,189.789
07/17,188.84651
07/18,189.09212
07/19,190.74614
07/20,191.81694
07/21,189.9402
07/22,190.53976
07/23,190.69696
07/24,190.88565
07/25,190.74294
07/26,189.71922
07/27,190.61517
07/28,189.25778
07/29,189.44847
07/30,188.60902
07/31,188.65163
08/01,190.2995
08/02,189.64854
08/03,189.30965
08/04,189.70473
08/05,189.36583
08/06,189.40814
08/07,190.40517
08/08,190.45752
08/09,189.23067
08/10,188.06151
08/11,187.23204
08/12,188.51906
08/13,187.19789
08/14,186.62614
08/15,187.95035
08/16,188.24933
08/17,187.47687
08/18,188.0624
08/19,187.42336
08/20,186.94943
08/21,188.07108
08/22,188.257
08/23,186.55957
08/24,187.6537
08/25,188.9705
08/26,189.50818
08/27,189.79597
08/28,189.19226
08/29,190.4101
08/30,190.78575
08/31,189.79895
09/01,191.21715
09/02,191.82695
09/03,190.99913
09/04,190.21953
09/05,190.29982
09/06,192.03522
09/07,191.12006
09/08,191.66917
09/09,192.14034
09/10,190.97627
09/11,190.49101
09/12,190.59497
09/13,191.17989
09/14,191.4696
09/15,192.03224
09/16,191.41196
09/17,192.36517
09/18,193.66016
09/19,194.29938
09/20,195.11392
09/21,194.53093
09/22,193.8066
09/23,194.73918
09/24,193.0101
09/25,194.11621
09/26,194.97076
09/27,195.39262
09/28,194.20828
09/29,195.92859
09/30,197.18867
10/01,196.56038
10/02,197.23756
10/03,197.95844
10/04,197.48991
10/05,197.36104
10/06,198.6405
10/07,196.97504
10/08,197.40318
10/09,197.7692
10/10,197.60771
10/11,197.81076
10/12,197.77861
10/13,197.39986
10/14,198.72412
10/15,199.33769
10/16,197.70465
10/17,197.01595
10/18,196.63998
10/19,197.48735
10/20,197.52994
10/21,196.46991
10/22,197.4723
10/23,197.8597
10/24,197.04971
10/25,197.40312
10/26,199.05048
10/27,198.54202
10/28,198.61462
10/29,198.13565
10/30,199.74194
10/31,199.86342
11/01,200.52135
11/02,201.03705
11/03,201.67424
11/04,200.9498
11/05,200.05943
11/06,201.56818
11/07,201.52791
11/08,201.17848
11/09,201.0194
11/10,201.35051
11/11,200.20297
11/12,200.64622
11/13,200.88011
11/14,199.62804
11/15,200.09491
11/16,198.66476
11/17,198.27289
11/18,200.63501
11/19,200.48059
11/20,199.2793
11/21,198.54297
11/22,200.35252
11/23,199.44908
11/24,198.4247
11/25,199.00027
11/26,198.80185
11/27,199.05011
11/28,198.91835
11/29,198.17159
11/30,198.73882
12/01,199.38521
12/02,199.80138
12/03,198.92159
12/04,199.1975
12/05,199.43837
12/06,200.17311
12/07,198.49919
12/08,199.99202
12/09,201.14444
12/10,201.05446
12/11,200.64133
12/12,198.88223
12/13,199.78001
12/14,199.9197
12/15,199.72382
12/16,200.45024
12/17,199.42662
12/18,200.31714
12/19,200.2281
12/20,199.77711
12/21,200.03027
12/22,200.08409
12/23,201.42828
12/24,201.26996
12/25,201.16933
12/26,199.71284
12/27,198.72278
12/28,198.83064
12/29,199.4048
12/30,199.45654
12/31,200.61658
