time,iso20
01/01,120.635086
01/02,120.61155
01/03,122.2653
01/04,121.960625
01/05,120.83471
01/06,122.079384
01/07,120.91151
01/08,120.55437
01/09,121.15399
01/10,120.78557
01/11,120.82285
01/12,120.170975
01/13,120.779816
01/14,122.20918
01/15,120.944855
01/16,121.05829
01/17,121.12297
01/18,120.279076
01/19,121.637146
01/20,121.96707
01/21,120.68914
01/22,121.61209
01/23,122.32568
01/24,121.28109
01/25,123.710464
01/26,124.44346
01/27,124.27926
01/28,124.8151
01/29,125.71358
01/30,125.91191
01/31,126.65237
02/01,127.62522
02/02,127.01478
02/03,129.51733
02/04,130.40213
02/05,130.24619
02/06,131.8224
02/07,131.37553
02/08,131.9957
02/09,132.41162
02/10,133.0208
02/11,133.64165
02/12,133.59012
02/13,134.08813
02/14,134.6461
02/15,134.39363
02/16,135.27577
02/17,135.2967
02/18,134.90959
02/19,135.52403
02/20,135.10635
02/21,135.65074
02/22,136.01909
02/23,135.63097
02/24,135.65036
02/25,135.87706
02/26,136.27652
02/27,136.828
02/28,137.28493
02/29,141.9022
03/01,138.78539
03/02,138.08919
03/03,137.76114
03/04,138.66165
03/05,138.91112
03/06,139.82379
03/07,139.17805
03/08,139.97876
03/09,140.50249
03/10,141.29399
03/11,141.28885
03/12,141.15155
03/13,140.96843
03/14,141.82262
03/15,141.27878
03/16,141.58522
03/17,142.33284
03/18,142.16087
03/19,141.78635
03/20,142.35721
03/21,142.99988
03/22,142.49992
03/23,142.6144
03/24,143.57874
03/25,142.46927
03/26,142.54643
03/27,141.72276
03/28,140.94415
03/29,142.25351
03/30,141.30035
03/31,141.89537
04/01,141.69382
04/02,142.15895
04/03,141.91983
04/04,141.61717
04/05,142.01709
04/06,141.71544
04/07,140.87141
04/08,141.81422
04/09,141.34816
04/10,140.18874
04/11,141.04803
04/12,140.7171
04/13,141.095
04/14,140.41408
04/15,139.92685
04/16,140.78697
04/17,141.41753
04/18,142.2047
04/19,142.0149
04/20,142.21106
04/21,142.69228
04/22,142.40631
04/23,142.73221
04/24,143.1113
04/25,143.63249
04/26,144.04666
04/27,142.50209
04/28,142.09607
04/29,142.13417
04/30,141.90309
05/01,141.19281
05/02,141.38414
05/03,141.44704
05/04,141.17793
05/05,141.04515
05/06,140.40274
05/07,141.03221
05/08,141.3977
05/09,141.03894
05/10,141.2653
05/11,140.52393
05/12,140.60779
05/13,140.22736
05/14,139.8334
05/15,140.253
05/16,140.30595
05/17,139.28853
05/18,138.45602
05/19,137.95805
05/20,137.35477
05/21,137.26254
05/22,137.0693
05/23,137.18498
05/24,137.94418
05/25,137.29733
05/26,136.3959
05/27,136.56532
05/28,136.90349
05/29,135.5289
05/30,135.41524
05/31,135.58456
06/01,134.94551
06/02,133.5751
06/03,135.01474
06/04,134.8425
06/05,134.54843
06/06,134.2568
06/07,134.4766
06/08,134.43953
06/09,135.76384
06/10,132.2229
06/11,133.59058
06/12,133.98236
06/13,132.52744
06/14,133.04343
06/15,131.66815
06/16,132.86778
06/17,133.65984
06/18,132.80777
06/19,132.16643
06/20,132.78377
06/21,131.84268
06/22,131.79984
06/23,131.9002
06/24,132.10364
06/25,133.01056
06/26,132.56071
06/27,131.0737
06/28,130.68951
06/29,130.73087
06/30,129.78741
07/01,128.4782
07/02,128.77042
07/03,128.86992
07/04,130.03873
07/05,130.0798
07/06,128.74405
07/07,129.8398
07/08,129.2359
07/09,128.61113
07/10,128.09981
07/11,127.033226
07/12,126.418015
07/13,126.019875
07/14,125.8251
07/15,126.465004
07/16,127.48096
07/17,125.167984
07/18,125.54405
07/19,123.56935
07/20,127.1008
07/21,124.24729
07/22,123.66952
07/23,123.25974
07/24,123.733925
07/25,124.00839
07/26,124.29041
07/27,123.68288
07/28,124.28776
07/29,124.23696
07/30,124.29304
07/31,124.38788
08/01,124.89121
08/02,124.96385
08/03,124.62929
08/04,124.64729
08/05,123.18068
08/06,124.08605
08/07,123.92689
08/08,123.92097
08/09,123.759636
08/10,121.45077
08/11,122.611084
08/12,122.7987
08/13,122.03374
08/14,122.917885
08/15,122.70027
08/16,122.10015
08/17,121.482346
08/18,121.012115
08/19,120.83516
08/20,120.90637
08/21,120.57779
08/22,120.092575
08/23,119.840065
08/24,120.069
08/25,120.37368
08/26,119.37427
08/27,119.404076
08/28,119.7502
08/29,118.854004
08/30,119.48542
08/31,118.10748
09/01,118.44107
09/02,119.97385
09/03,119.51617
09/04,120.66485
09/05,119.689476
09/06,120.75185
09/07,118.73082
09/08,119.805916
09/09,121.7745
09/10,120.30836
09/11,120.96652
09/12,118.34323
09/13,120.898415
09/14,118.60621
09/15,119.74715
09/16,120.69107
09/17,118.94591
09/18,119.94618
09/19,119.88588
09/20,118.001884
09/21,118.42667
09/22,118.3532
09/23,118.91051
09/24,118.55128
09/25,118.95438
09/26,119.004074
09/27,118.65901
09/28,119.10734
09/29,120.54168
09/30,120.22453
10/01,118.77927
10/02,119.39974
10/03,120.1489
10/04,118.84219
10/05,119.4998
10/06,119.52886
10/07,121.190254
10/08,120.20465
10/09,121.2993
10/10,120.685425
10/11,121.845665
10/12,120.401024
10/13,120.79528
10/14,120.987915
10/15,121.009605
10/16,120.799706
10/17,120.78271
10/18,121.31766
10/19,123.145836
10/20,120.984314
10/21,120.99829
10/22,122.07952
10/23,121.723694
10/24,120.538635
10/25,121.83019
10/26,120.84133
10/27,120.668785
10/28,120.909515
10/29,120.727745
10/30,119.30651
10/31,120.00911
11/01,119.19943
11/02,119.03835
11/03,119.45229
11/04,119.196846
11/05,118.650856
11/06,118.30579
11/07,120.02696
11/08,119.736855
11/09,118.141014
11/10,119.75599
11/11,119.07271
11/12,118.88996
11/13,119.34047
11/14,118.495605
11/15,117.99691
11/16,117.38639
11/17,117.54199
11/18,117.81064
11/19,117.406555
11/20,118.91047
11/21,118.352844
11/22,118.17118
11/23,118.28608
11/24,118.81808
11/25,118.151794
11/26,118.20798
11/27,117.96077
11/28,118.04138
11/29,118.61707
11/30,118.18594
12/01,117.883415
12/02,117.97936
12/03,118.14442
12/04,118.46603
12/05,119.12609
12/06,118.22029
12/07,118.21843
12/08,117.95641
12/09,118.18791
12/10,118.92451
12/11,118.53242
12/12,119.5303
12/13,121.621414
12/14,120.69122
12/15,120.01426
12/16,121.54894
12/17,120.4781
12/18,120.75105
12/19,120.28785
12/20,120.09229
12/21,117.95801
12/22,118.77603
12/23,119.45353
12/24,120.06275
