time,sst
01/01,24.819006
01/02,24.816545
01/03,24.81801
01/04,24.823486
01/05,24.818796
01/06,24.760231
01/07,24.754446
01/08,24.749613
01/09,24.78515
01/10,24.896626
01/11,24.875824
01/12,24.897888
01/13,24.949654
01/14,24.90371
01/15,24.995852
01/16,25.055662
01/17,25.108894
01/18,25.128983
01/19,25.143396
01/20,25.151228
01/21,25.141073
01/22,25.082548
01/23,25.044378
01/24,25.003845
01/25,24.993963
01/26,25.054832
01/27,25.094307
01/28,25.096855
01/29,25.077192
01/30,25.06925
01/31,25.085478
02/01,25.123848
02/02,25.19491
02/03,25.253618
02/04,25.307663
02/05,25.451326
02/06,25.547712
02/07,25.645958
02/08,25.75883
02/09,25.813332
02/10,25.8619
02/11,25.860464
02/12,25.88269
02/13,25.879364
02/14,25.884314
02/15,25.888662
02/16,25.95619
02/17,25.944283
02/18,25.95347
02/19,26.037783
02/20,26.065527
02/21,26.01184
02/22,25.975807
02/23,25.960114
02/24,26.005129
02/25,26.032785
02/26,26.04727
02/27,26.069803
02/28,26.080412
02/29,25.918333
03/01,26.170235
03/02,26.174248
03/03,26.21601
03/04,26.285133
03/05,26.31204
03/06,26.362314
03/07,26.487381
03/08,26.542933
03/09,26.622923
03/10,26.664715
03/11,26.68816
03/12,26.785978
03/13,26.831585
03/14,26.861824
03/15,26.961908
03/16,26.910341
03/17,26.966953
03/18,27.049128
03/19,27.06837
03/20,27.071999
03/21,27.076889
03/22,27.190926
03/23,27.214975
03/24,27.146666
03/25,27.103977
03/26,27.186295
03/27,27.254702
03/28,27.273813
03/29,27.28272
03/30,27.338596
03/31,27.343897
04/01,27.364063
04/02,27.341375
04/03,27.358698
04/04,27.352053
04/05,27.360863
04/06,27.418806
04/07,27.442537
04/08,27.417292
04/09,27.433472
04/10,27.460407
04/11,27.562134
04/12,27.604843
04/13,27.5317
04/14,27.529556
04/15,27.510202
04/16,27.503311
04/17,27.492281
04/18,27.505095
04/19,27.509514
04/20,27.513138
04/21,27.574745
04/22,27.573076
04/23,27.566807
04/24,27.55485
04/25,27.537289
04/26,27.568098
04/27,27.537127
04/28,27.498823
04/29,27.424263
04/30,27.478075
05/01,27.484781
05/02,27.506763
05/03,27.482405
05/04,27.45184
05/05,27.426737
05/06,27.424553
05/07,27.439976
05/08,27.39345
05/09,27.3177
05/10,27.237528
05/11,27.192871
05/12,27.147078
05/13,27.111227
05/14,27.064426
05/15,27.076307
05/16,27.10124
05/17,27.11428
05/18,27.09402
05/19,27.055601
05/20,27.038342
05/21,27.000048
05/22,26.980852
05/23,26.964834
05/24,26.96047
05/25,26.902012
05/26,26.867186
05/27,26.829048
05/28,26.781225
05/29,26.7153
05/30,26.712019
05/31,26.710526
06/01,26.68709
06/02,26.675854
06/03,26.633867
06/04,26.60074
06/05,26.57772
06/06,26.543465
06/07,26.515945
06/08,26.503654
06/09,26.49877
06/10,26.478436
06/11,26.475986
06/12,26.473572
06/13,26.47084
06/14,26.445946
06/15,26.40393
06/16,26.405907
06/17,26.432486
06/18,26.415295
06/19,26.393213
06/20,26.392855
06/21,26.416792
06/22,26.422092
06/23,26.397436
06/24,26.367973
06/25,26.304598
06/26,26.284555
06/27,26.285156
06/28,26.299028
06/29,26.292768
06/30,26.26153
07/01,26.226746
07/02,26.205246
07/03,26.174786
07/04,26.141922
07/05,26.083086
07/06,26.038067
07/07,25.965042
07/08,25.862005
07/09,25.796345
07/10,25.751106
07/11,25.724276
07/12,25.725456
07/13,25.730576
07/14,25.683367
07/15,25.635174
07/16,25.576279
07/17,25.538183
07/18,25.459288
07/19,25.38861
07/20,25.327627
