time,sst
01/01,30.035217
01/02,30.016956
01/03,29.99087
01/04,30.033915
01/05,29.992174
01/06,29.99913
01/07,30.017824
01/08,30.050434
01/09,30.044785
01/10,30.03
01/11,30.015652
01/12,29.936089
01/13,29.932175
01/14,30.009546
01/15,30.01087
01/16,29.97739
01/17,29.982607
01/18,30.031303
01/19,30.013477
01/20,29.99913
01/21,29.949091
01/22,29.976362
01/23,30.035908
01/24,29.949091
01/25,29.943182
01/26,29.931364
01/27,29.92909
01/28,29.88
01/29,29.83409
01/30,29.845001
01/31,29.797272
02/01,29.797272
02/02,29.74182
02/03,29.737726
02/04,29.768635
02/05,29.83091
02/06,29.79091
02/07,29.771818
02/08,29.760908
02/09,29.789091
02/10,29.838182
02/11,29.868093
02/12,29.765907
02/13,29.795
02/14,29.82091
02/15,29.800453
02/16,29.81591
02/17,29.87409
02/18,29.824091
02/19,29.782728
02/20,29.748182
02/21,29.728182
02/22,29.792727
02/23,29.785454
02/24,29.753637
02/25,29.725
02/26,29.673811
02/27,29.649544
02/28,29.646818
02/29,29.746666
03/01,29.609093
03/02,29.641817
03/03,29.67818
03/04,29.672272
03/05,29.714998
03/06,29.711365
03/07,29.694548
03/08,29.693636
03/09,29.629091
03/10,29.578636
03/11,29.563183
03/12,29.506365
03/13,29.572273
03/14,29.634998
03/15,29.615908
03/16,29.586817
03/17,29.691364
03/18,29.714998
03/19,29.688183
03/20,29.743181
03/21,29.697725
03/22,29.738182
03/23,29.721819
03/24,29.729546
03/25,29.760454
03/26,29.821363
03/27,29.828636
03/28,29.793182
03/29,29.806364
03/30,29.815454
03/31,29.768183
04/01,29.795
04/02,29.865454
04/03,29.875
04/04,29.803637
04/05,29.845453
04/06,29.860909
04/07,29.880909
04/08,29.820454
04/09,29.843636
04/10,29.848635
04/11,29.764286
04/12,29.802856
04/13,29.77381
04/14,29.774286
04/15,29.779047
04/16,29.689524
04/17,29.775713
04/18,29.811428
04/19,29.781904
04/20,29.750954
04/21,29.750477
04/22,29.76619
04/23,29.829046
04/24,29.825716
04/25,29.87
04/26,29.849049
04/27,29.88381
04/28,29.831903
04/29,29.863333
04/30,29.82762
05/01,29.897617
05/02,29.923811
05/03,29.890476
05/04,29.917143
05/05,29.938572
05/06,29.850475
05/07,29.799522
05/08,29.877619
05/09,29.899048
05/10,29.86
05/11,29.845238
05/12,29.83762
05/13,29.836666
05/14,29.89
05/15,29.920477
05/16,29.89
05/17,29.872381
05/18,29.86381
05/19,29.866667
05/20,29.945713
05/21,29.905716
05/22,29.875715
05/23,29.780478
05/24,29.788095
05/25,29.756668
05/26,29.820951
05/27,29.74
05/28,29.780954
05/29,29.806667
05/30,29.840477
05/31,29.82524
06/01,29.822382
06/02,29.782858
06/03,29.740475
06/04,29.749046
06/05,29.756668
06/06,29.661905
06/07,29.661905
06/08,29.683332
06/09,29.732859
06/10,29.681906
06/11,29.705715
06/12,29.689999
06/13,29.676668
06/14,29.641903
06/15,29.63
06/16,29.712858
06/17,29.72238
06/18,29.692379
06/19,29.68381
06/20,29.680002
06/21,29.660477
06/22,29.60857
06/23,29.610952
06/24,29.630953
06/25,29.614761
06/26,29.614763
06/27,29.594284
06/28,29.591904
06/29,29.605
06/30,29.59238
07/01,29.51381
07/02,29.521906
07/03,29.493332
07/04,29.474287
07/05,29.479525
07/06,29.4575
07/07,29.469522
07/08,29.436666
07/09,29.487143
07/10,29.5395
07/11,29.515
07/12,29.474287
07/13,29.435238
07/14,29.465715
07/15,29.382381
07/16,29.386667
07/17,29.297142
07/18,29.288095
07/19,29.287619
07/20,29.297619
07/21,29.349049
07/22,29.310501
07/23,29.27143
07/24,29.287142
07/25,29.319
07/26,29.3055
07/27,29.232859
07/28,29.212381
07/29,29.216665
07/30,29.24619
07/31,29.231905
08/01,29.241428
08/02,29.24857
08/03,29.257145
08/04,29.218096
08/05,29.22381
08/06,29.171904
08/07,29.190952
08/08,29.220953
08/09,29.237143
08/10,29.210001
08/11,29.1715
08/12,29.116667
08/13,29.154762
08/14,29.098572
08/15,29.127142
08/16,29.08
08/17,29.10286
08/18,29.103333
08/19,29.088572
08/20,29.09
08/21,29.097141
08/22,29.188095
08/23,29.222857
08/24,29.206669
08/25,29.178637
08/26,29.235216
08/27,29.213476
08/28,29.201305
08/29,29.155218
08/30,29.117826
08/31,29.155218
09/01,29.19
09/02,29.206957
09/03,29.210436
09/04,29.194347
09/05,29.242609
09/06,29.232176
09/07,29.21591
09/08,29.18
09/09,29.204348
09/10,29.24273
09/11,29.223043
09/12,29.216085
09/13,29.288696
09/14,29.307827
09/15,29.335218
09/16,29.330002
09/17,29.382174
09/18,29.453478
09/19,29.503912
09/20,29.493912
09/21,29.44348
09/22,29.468697
09/23,29.475218
09/24,29.487392
09/25,29.527826
09/26,29.527391
09/27,29.474781
09/28,29.514784
09/29,29.45826
09/30,29.455652
10/01,29.495653
10/02,29.495653
10/03,29.49087
10/04,29.554783
10/05,29.54826
10/06,29.64652
10/07,29.599564
10/08,29.613913
10/09,29.626087
10/10,29.592175
10/11,29.606522
10/12,29.55652
10/13,29.638697
10/14,29.654783
10/15,29.675652
10/16,29.721739
10/17,29.765217
10/18,29.730434
10/19,29.701305
10/20,29.684782
10/21,29.725218
10/22,29.763914
10/23,29.794348
10/24,29.767393
10/25,29.777826
10/26,29.805653
10/27,29.880434
10/28,29.885653
10/29,29.866087
10/30,29.893478
10/31,29.869566
11/01,29.84261
11/02,29.868261
11/03,29.912172
11/04,29.870436
11/05,29.821304
11/06,29.846956
11/07,29.9
11/08,29.914347
11/09,29.950434
11/10,29.966085
11/11,29.923477
11/12,29.955652
11/13,29.87348
11/14,29.870436
11/15,29.942173
11/16,29.972174
11/17,29.946522
11/18,29.971302
11/19,29.997828
11/20,30.039999
