time,sst
01/01,28.86375
01/02,28.8225
01/03,28.818125
01/04,28.805
01/05,28.788126
01/06,28.75875
01/07,28.7475
01/08,28.77125
01/09,28.76375
01/10,28.75
01/11,28.744375
01/12,28.71125
01/13,28.699375
01/14,28.685625
01/15,28.676876
01/16,28.658125
01/17,28.6775
01/18,28.6775
01/19,28.66
01/20,28.640625
01/21,28.64125
01/22,28.624374
01/23,28.628124
01/24,28.64
01/25,28.616875
01/26,28.595625
01/27,28.590626
01/28,28.543125
01/29,28.515
01/30,28.5
01/31,28.479376
02/01,28.493126
02/02,28.455626
02/03,28.42941
02/04,28.422352
02/05,28.445883
02/06,28.452942
02/07,28.45353
02/08,28.470589
02/09,28.460625
02/10,28.488888
02/11,28.491665
02/12,28.477776
02/13,28.45111
02/14,28.446114
02/15,28.412777
02/16,28.43389
02/17,28.385555
02/18,28.358889
02/19,28.398335
02/20,28.413889
02/21,28.428333
02/22,28.413889
02/23,28.415
02/24,28.431112
02/25,28.440527
02/26,28.432106
02/27,28.447895
02/28,28.42421
02/29,28.488
03/01,28.449999
03/02,28.458946
03/03,28.455791
03/04,28.493685
03/05,28.519474
03/06,28.522104
03/07,28.58579
03/08,28.57842
03/09,28.572632
03/10,28.627893
03/11,28.62316
03/12,28.581112
03/13,28.583889
03/14,28.57611
03/15,28.585554
03/16,28.622223
03/17,28.570557
03/18,28.570557
03/19,28.585554
03/20,28.583889
03/21,28.636667
03/22,28.678335
03/23,28.685556
03/24,28.69611
03/25,28.659445
03/26,28.68611
03/27,28.695557
03/28,28.707777
03/29,28.73611
03/30,28.74611
03/31,28.705
04/01,28.703888
04/02,28.679443
04/03,28.737776
04/04,28.734444
04/05,28.740557
04/06,28.743889
04/07,28.75389
04/08,28.812222
04/09,28.859444
04/10,28.865557
04/11,28.816668
04/12,28.796112
04/13,28.76
04/14,28.755554
04/15,28.795
04/16,28.832777
04/17,28.82778
04/18,28.799446
04/19,28.818888
04/20,28.824999
04/21,28.869999
04/22,28.828888
04/23,28.868334
04/24,28.903334
04/25,28.92222
04/26,28.900557
04/27,28.93
04/28,28.947777
04/29,28.943333
04/30,28.970001
05/01,28.966667
05/02,29.007778
05/03,29.017221
05/04,29.01
05/05,28.991665
05/06,28.99778
05/07,29.048332
05/08,29.046112
05/09,29.07
05/10,29.101112
05/11,29.102776
05/12,29.172777
05/13,29.116665
05/14,29.095554
05/15,29.121666
05/16,29.114445
05/17,29.183332
05/18,29.15611
05/19,29.148333
05/20,29.118334
05/21,29.145555
05/22,29.15611
05/23,29.17706
05/24,29.135294
05/25,29.114119
05/26,29.119411
05/27,29.10588
05/28,29.102942
05/29,29.07
05/30,29.121765
05/31,29.141766
06/01,29.202353
06/02,29.167648
06/03,29.187057
06/04,29.148422
06/05,29.147367
06/06,29.15
06/07,29.187368
06/08,29.189472
06/09,29.171053
06/10,29.132633
06/11,29.108887
06/12,29.121052
06/13,29.141052
06/14,29.115263
06/15,29.16579
06/16,29.12
06/17,29.090525
06/18,29.148888
06/19,29.133335
06/20,29.151665
06/21,29.134443
06/22,29.113888
06/23,29.132778
06/24,29.18294
06/25,29.18889
06/26,29.185001
06/27,29.185556
06/28,29.158333
06/29,29.206665
06/30,29.157223
07/01,29.23389
07/02,29.230556
07/03,29.248888
07/04,29.23778
07/05,29.243334
07/06,29.317223
07/07,29.32611
07/08,29.265556
07/09,29.35389
07/10,29.32
07/11,29.285
07/12,29.369999
07/13,29.347221
07/14,29.386112
07/15,29.314999
07/16,29.29889
07/17,29.322222
07/18,29.333334
07/19,29.32
07/20,29.329445
07/21,29.318333
07/22,29.345001
07/23,29.371666
07/24,29.312222
07/25,29.362223
07/26,29.351667
07/27,29.334118
07/28,29.351177
07/29,29.313528
07/30,29.344118
07/31,29.288824
08/01,29.318235
08/02,29.418234
08/03,29.412354
08/04,29.355295
08/05,29.42875
08/06,29.432354
08/07,29.47647
08/08,29.465294
08/09,29.38353
08/10,29.37647
08/11,29.37353
08/12,29.424706
08/13,29.382942
08/14,29.478825
08/15,29.484116
08/16,29.474117
08/17,29.508236
08/18,29.459412
08/19,29.43294
08/20,29.480625
08/21,29.498236
08/22,29.492353
08/23,29.461176
08/24,29.5
08/25,29.49941
08/26,29.544117
08/27,29.607649
08/28,29.6
08/29,29.550587
08/30,29.524118
08/31,29.61647
09/01,29.615294
09/02,29.581766
09/03,29.519411
09/04,29.524706
09/05,29.628235
09/06,29.664705
09/07,29.585295
09/08,29.605295
09/09,29.58
09/10,29.581764
09/11,29.64294
09/12,29.647648
09/13,29.699413
09/14,29.630589
09/15,29.665295
09/16,29.664118
09/17,29.734118
09/18,29.675295
09/19,29.74941
09/20,29.760588
09/21,29.684118
09/22,29.73294
09/23,29.697647
09/24,29.655293
09/25,29.683529
09/26,29.72647
09/27,29.652353
09/28,29.61647
09/29,29.648235
09/30,29.655882
10/01,29.64412
10/02,29.687057
10/03,29.67647
10/04,29.705294
10/05,29.632942
10/06,29.591175
10/07,29.592354
10/08,29.678236
10/09,29.739412
10/10,29.747059
10/11,29.705294
10/12,29.691765
10/13,29.69647
10/14,29.724707
10/15,29.687647
10/16,29.661764
10/17,29.667059
10/18,29.64353
10/19,29.615883
10/20,29.6
10/21,29.59
10/22,29.558823
10/23,29.581177
10/24,29.64
10/25,29.623125
10/26,29.564117
10/27,29.581177
10/28,29.590626
10/29,29.640625
10/30,29.55
10/31,29.51
11/01,29.520624
11/02,29.50875
11/03,29.51625
11/04,29.521875
11/05,29.458126
11/06,29.4575
11/07,29.476875
11/08,29.476665
11/09,29.472666
