time,sst
01/01,26.869732
01/02,26.832567
01/03,26.778923
01/04,26.76541
01/05,26.728619
01/06,26.690922
01/07,26.661684
01/08,26.648355
01/09,26.570045
01/10,26.597126
01/11,26.59972
01/12,26.595568
01/13,26.53979
01/14,26.586119
01/15,26.611431
01/16,26.56881
01/17,26.541832
01/18,26.559359
01/19,26.573011
01/20,26.554005
01/21,26.573383
01/22,26.525408
01/23,26.503307
01/24,26.500912
01/25,26.492064
01/26,26.471891
01/27,26.478664
01/28,26.509205
01/29,26.53934
01/30,26.56062
01/31,26.582506
02/01,26.611826
02/02,26.608398
02/03,26.577965
02/04,26.600538
02/05,26.594116
02/06,26.564568
02/07,26.545082
02/08,26.550396
02/09,26.547102
02/10,26.547432
02/11,26.563143
02/12,26.552874
02/13,26.549625
02/14,26.54358
02/15,26.5294
02/16,26.521091
02/17,26.514158
02/18,26.512146
02/19,26.508898
02/20,26.523201
02/21,26.511374
02/22,26.440529
02/23,26.489979
02/24,26.481113
02/25,26.487764
02/26,26.536602
02/27,26.533709
02/28,26.520851
02/29,26.389236
03/01,26.561312
03/02,26.572786
03/03,26.583134
03/04,26.564175
03/05,26.560646
03/06,26.576927
03/07,26.574228
03/08,26.573587
03/09,26.573244
03/10,26.593292
03/11,26.57073
03/12,26.590334
03/13,26.620422
03/14,26.614086
03/15,26.589561
03/16,26.600561
03/17,26.625599
03/18,26.626387
03/19,26.614672
03/20,26.632883
03/21,26.622196
03/22,26.636717
03/23,26.645472
03/24,26.628275
03/25,26.64291
03/26,26.695896
03/27,26.719755
03/28,26.71907
03/29,26.751583
03/30,26.76508
03/31,26.766397
04/01,26.796951
04/02,26.811375
04/03,26.811857
04/04,26.8411
04/05,26.886438
04/06,26.898777
04/07,26.906878
04/08,26.915148
04/09,26.924622
04/10,26.908003
04/11,26.889
04/12,26.887514
04/13,26.882992
04/14,26.91279
04/15,26.91939
04/16,26.956755
04/17,26.994453
04/18,27.036572
04/19,27.021776
04/20,27.031519
04/21,27.050053
04/22,27.069609
04/23,27.07036
04/24,27.088001
04/25,27.116772
04/26,27.11124
04/27,27.113138
04/28,27.12997
04/29,27.143597
04/30,27.164839
05/01,27.179161
05/02,27.1808
05/03,27.181307
05/04,27.16101
05/05,27.184124
05/06,27.232195
05/07,27.252258
05/08,27.261705
05/09,27.24731
05/10,27.247156
05/11,27.261465
05/12,27.24496
05/13,27.271204
05/14,27.293858
05/15,27.294645
05/16,27.273205
05/17,27.28283
05/18,27.312443
05/19,27.309193
05/20,27.328306
05/21,27.365028
05/22,27.384817
05/23,27.391466
05/24,27.357374
05/25,27.400871
05/26,27.439188
05/27,27.418543
05/28,27.444979
05/29,27.41724
05/30,27.406448
05/31,27.44369
06/01,27.471724
06/02,27.488672
06/03,27.55601
06/04,27.577528
06/05,27.581295
06/06,27.612387
06/07,27.62308
06/08,27.684559
06/09,27.714882
06/10,27.765957
06/11,27.755322
06/12,27.707645
06/13,27.707909
06/14,27.730928
06/15,27.754452
06/16,27.766117
06/17,27.743017
06/18,27.748707
06/19,27.772753
06/20,27.810116
06/21,27.829456
06/22,27.818008
06/23,27.872398
06/24,27.926653
06/25,27.89165
06/26,27.890844
06/27,27.934244
06/28,27.908106
06/29,27.908386
06/30,27.970222
07/01,28.025684
07/02,28.03528
07/03,28.041037
07/04,28.08634
07/05,28.033495
07/06,28.07539
07/07,28.068018
07/08,28.1006
07/09,28.152695
07/10,28.212456
07/11,28.214237
07/12,28.20531
07/13,28.208553
07/14,28.232307
07/15,28.204916
07/16,28.176102
07/17,28.202518
07/18,28.217602
07/19,28.158876
07/20,28.164127
07/21,28.189577
07/22,28.30417
07/23,28.29041
07/24,28.253891
07/25,28.25339
07/26,28.248184
07/27,28.25221
07/28,28.258469
07/29,28.228703
07/30,28.259045
07/31,28.297728
08/01,28.303682
08/02,28.315859
08/03,28.315971
08/04,28.288761
08/05,28.280037
08/06,28.293774
08/07,28.328247
08/08,28.310266
08/09,28.315628
08/10,28.338829
08/11,28.280125
08/12,28.28989
08/13,28.309036
08/14,28.329697
08/15,28.273949
08/16,28.262777
08/17,28.280905
08/18,28.29521
08/19,28.277046
08/20,28.239693
08/21,28.240673
08/22,28.233162
08/23,28.275772
08/24,28.271952
08/25,28.28705
08/26,28.316423
08/27,28.273462
08/28,28.275894
08/29,28.320667
08/30,28.341099
08/31,28.31613
09/01,28.298195
09/02,28.317314
09/03,28.307735
09/04,28.28314
09/05,28.299833
09/06,28.34891
09/07,28.335081
09/08,28.31823
09/09,28.318874
09/10,28.372135
09/11,28.38015
09/12,28.43206
09/13,28.384035
09/14,28.331047
09/15,28.315338
09/16,28.329348
09/17,28.363272
09/18,28.350819
09/19,28.385225
09/20,28.336224
09/21,28.379368
09/22,28.376858
09/23,28.4132
09/24,28.42555
09/25,28.410526
09/26,28.389004
09/27,28.355778
09/28,28.345253
09/29,28.355337
09/30,28.34125
10/01,28.323503
10/02,28.324392
10/03,28.305696
10/04,28.30206
10/05,28.347544
10/06,28.34214
10/07,28.362959
10/08,28.347212
10/09,28.331799
10/10,28.350111
10/11,28.372192
10/12,28.363241
10/13,28.345863
10/14,28.317558
10/15,28.277264
10/16,28.248453
10/17,28.258396
10/18,28.237053
10/19,28.260334
10/20,28.27717
10/21,28.280834
10/22,28.267338
10/23,28.232914
10/24,28.223886
10/25,28.202278
10/26,28.14047
10/27,28.183214
10/28,28.20776
10/29,28.224356
10/30,28.232662
10/31,28.22365
11/01,28.22233
11/02,28.177258
11/03,28.13553
11/04,28.118593
11/05,28.10599
11/06,28.076504
11/07,28.072252
11/08,28.053625
11/09,28.041368
11/10,27.965872
11/11,27.951578
11/12,27.945896
11/13,27.916338
11/14,27.895445
11/15,27.834438
11/16,27.788082
11/17,27.765188
11/18,27.75105
11/19,27.71927
11/20,27.708315
11/21,27.710558
11/22,27.674019
11/23,27.650387
11/24,27.611708
11/25,27.564491
11/26,27.587349
11/27,27.54178
11/28,27.541079
11/29,27.501097
11/30,27.46154
12/01,27.458689
12/02,27.435848
12/03,27.430464
12/04,27.394503
12/05,27.361504
12/06,27.306042
12/07,27.299042
12/08,27.282763
12/09,27.264513
12/10,27.27614
12/11,27.23884
12/12,27.211704
12/13,27.176664
12/14,27.163279
12/15,27.178211
12/16,27.139486
12/17,27.12811
12/18,27.121922
12/19,27.096586
12/20,27.060558
12/21,27.050886
12/22,27.006166
12/23,26.98962
12/24,26.99183
12/25,26.967592
12/26,26.960438
12/27,26.959621
12/28,26.927223
12/29,26.887646
12/30,26.892887
12/31,26.859488
