time,uwind
01/01,-2.0523808
01/02,-1.9809523
01/03,-2.295
01/04,-2.159091
01/05,-1.6590909
01/06,-1.5409092
01/07,-2.0272727
01/08,-1.9772727
01/09,-1.8772727
01/10,-2.0181818
01/11,-2.2045455
01/12,-2.3772726
01/13,-2.4272728
01/14,-1.8136364
01/15,-2.2045455
01/16,-2.909091
01/17,-2.709091
01/18,-2.5863638
01/19,-2.009091
01/20,-2.390909
01/21,-2.4045455
01/22,-2.3954546
01/23,-2.2142856
01/24,-2.3181818
01/25,-2.4863636
01/26,-2.1454546
01/27,-2.140909
01/28,-2.2727273
01/29,-2.831818
01/30,-2.8428571
01/31,-2.7333333
02/01,-3.257143
02/02,-3.342857
02/03,-2.9299998
02/04,-2.8
02/05,-3.5900002
02/06,-3.27
02/07,-2.3789475
02/08,-2.7789474
02/09,-3.1789474
02/10,-3.863158
02/11,-3.3210528
02/12,-3.5736842
02/13,-3.5315788
02/14,-2.8999999
02/15,-3.1263158
02/16,-2.9842105
02/17,-2.3473685
02/18,-2.1578948
02/19,-2.6421053
02/20,-2.0578947
02/21,-2.6789472
02/22,-1.7684209
02/23,-1.5894736
02/24,-1.1944444
02/25,-1.6055555
02/26,-1.7157894
02/27,-2.1842105
02/28,-2.8473682
02/29,-3.8400002
03/01,-2.231579
03/02,-2.2842107
03/03,-2.0526316
03/04,-3.168421
03/05,-2.2368422
03/06,-2.6789472
03/07,-2.3947368
03/08,-2.1166668
03/09,-1.8777777
03/10,-2.0722222
03/11,-2.7941177
03/12,-2.0277777
03/13,-2.1833334
03/14,-2.5
03/15,-3.2222223
03/16,-3.3055556
03/17,-2.4529412
03/18,-2.3166666
03/19,-1.8222222
03/20,-2.2333333
03/21,-2.7388887
03/22,-2.311111
03/23,-1.9666667
03/24,-2.0833333
03/25,-1.9000001
03/26,-1.25
03/27,-1.3388889
03/28,-2.6294117
03/29,-2.364706
03/30,-2.7411764
03/31,-2.4941177
04/01,-2.0882354
04/02,-1.8764706
04/03,-1.2882353
04/04,-1.6999999
04/05,-2.017647
04/06,-1.5352942
04/07,-1.3000001
04/08,-1.9411764
04/09,-1.85625
04/10,-1.6058823
04/11,-0.98823524
04/12,-1.3625
04/13,-1.45625
04/14,-1.58125
04/15,-1.8875
04/16,-1.75
04/17,-2.33125
04/18,-2.1375
04/19,-1.58125
04/20,-1.3866667
04/21,-1.825
04/22,-2.0625
04/23,-2.35625
04/24,-2.84375
04/25,-2.73125
04/26,-2.4375
04/27,-2.76875
04/28,-2.31875
04/29,-2.0764706
04/30,-1.6588236
05/01,-2.3176472
05/02,-2.888235
05/03,-2.517647
05/04,-2.1941175
05/05,-2.4058824
05/06,-2.235294
05/07,-2.6058824
05/08,-2.3705883
05/09,-2.2235293
05/10,-2.1411765
05/11,-1.817647
05/12,-1.7352941
05/13,-0.7941176
05/14,-1.0
05/15,-1.164706
05/16,-1.5294118
05/17,-1.6647059
05/18,-0.98823524
05/19,0.3470588
05/20,-0.05294118
05/21,-0.32352942
05/22,-0.73749995
05/23,-1.9625
05/24,-2.33125
05/25,-2.18125
05/26,-0.85
05/27,-0.69375
05/28,-1.325
05/29,-2.2
05/30,-1.98125
05/31,-1.6687499
06/01,-1.41875
06/02,-1.54375
06/03,-1.60625
06/04,-1.4866668
06/05,-1.5466666
06/06,-1.8533332
06/07,-2.0733333
06/08,-2.0
06/09,-1.7928572
06/10,-2.22
06/11,-1.6266667
06/12,-1.1066667
06/13,-0.93333334
06/14,-0.9066667
06/15,-0.81875
06/16,-0.3875
06/17,-1.04375
06/18,-1.0250001
06/19,-1.1187501
06/20,-0.9
06/21,-0.5625
06/22,-0.66249996
06/23,-0.08750005
06/24,1.68125
06/25,1.9875001
06/26,1.5
06/27,1.84375
06/28,1.7499999
06/29,1.5
06/30,0.78125
07/01,0.26875
07/02,0.20000005
07/03,0.13750002
07/04,-0.2625
07/05,0.05000005
07/06,-0.35
07/07,-0.2875
07/08,-0.35625002
07/09,-0.12499999
07/10,0.71875
07/11,0.45625
07/12,0.37500006
07/13,0.099999994
07/14,0.26874998
07/15,-0.29374996
07/16,-0.37500003
07/17,-0.29375002
07/18,-0.099999994
07/19,-0.46874997
07/20,-0.20588237
07/21,-0.29999995
07/22,0.47058824
07/23,0.8705882
07/24,1.0117648
07/25,0.1882353
07/26,-0.3058823
07/27,0.04705876
07/28,-0.03333334
07/29,0.1444444
07/30,0.8666667
07/31,-0.073684156
08/01,-0.4789474
08/02,-0.4263158
08/03,0.0473684
08/04,0.38421053
08/05,0.32222223
08/06,0.56666666
08/07,0.38333336
