time,uwind
01/01,-0.80575466
01/02,-1.0419229
01/03,-1.1927264
01/04,-1.6256434
01/05,-1.6076629
01/06,-1.363478
01/07,-0.68407863
01/08,-0.7172627
01/09,-1.0593883
01/10,-1.8109572
01/11,-1.8405366
01/12,-1.2176135
01/13,-1.1825781
01/14,-1.36023
01/15,-0.5129178
01/16,-0.7652825
01/17,-1.3460072
01/18,-1.3459198
01/19,-1.504995
01/20,-2.1444619
01/21,-1.3622061
01/22,-1.705534
01/23,-1.2898623
01/24,-1.4898753
01/25,-1.5944862
01/26,-1.411597
01/27,-1.6050586
01/28,-1.4156356
01/29,-1.0435035
01/30,-0.59709275
01/31,-0.23613472
02/01,-0.7364545
02/02,-0.8786296
02/03,-0.7427857
02/04,-1.0505339
02/05,-1.2026964
02/06,-1.6056441
02/07,-1.823889
02/08,-2.1272018
02/09,-2.0432172
02/10,-1.8732252
02/11,-1.8169076
02/12,-2.1290817
02/13,-1.5521755
02/14,-1.6849574
02/15,-1.8505164
02/16,-1.8051305
02/17,-1.8091612
02/18,-1.8721378
02/19,-2.218258
02/20,-1.9096866
02/21,-1.0527691
02/22,-1.1972716
02/23,-1.2829212
02/24,-1.7491131
02/25,-1.2938195
02/26,-1.4975257
02/27,-1.7733328
02/28,-1.8708079
02/29,-1.7957683
03/01,-1.4954727
03/02,-1.1373296
03/03,-1.5046773
03/04,-1.9810804
03/05,-1.817013
03/06,-1.8682302
03/07,-1.7783561
03/08,-2.1686816
03/09,-1.1804087
03/10,-1.6374663
03/11,-1.7719973
03/12,-1.0126683
03/13,-0.8795227
03/14,-1.0458263
03/15,-1.3451543
03/16,-1.5574026
03/17,-1.5116562
03/18,-1.3870806
03/19,-0.8270167
03/20,-1.0838091
03/21,-1.2063425
03/22,-1.4746279
03/23,-1.2902194
03/24,-1.0431072
03/25,-0.7447062
03/26,-1.2885097
03/27,-1.0852052
03/28,-0.97321427
03/29,-1.2881056
03/30,-1.2769917
03/31,-0.89996195
04/01,-0.9091999
04/02,-1.5815877
04/03,-1.2130432
04/04,-0.90817076
04/05,-0.08369646
04/06,-0.98984826
04/07,-0.20436572
04/08,0.03469549
04/09,0.23533548
04/10,0.19761686
04/11,0.49564773
04/12,0.36382452
04/13,0.7039411
04/14,0.18087916
04/15,-0.26428565
04/16,-0.8054431
04/17,-0.62722206
04/18,-0.20691001
04/19,0.65089643
04/20,1.1452283
04/21,0.51161444
04/22,0.12175323
04/23,0.28692397
04/24,0.7695688
04/25,0.5480252
04/26,0.7278255
04/27,0.37551135
04/28,-0.012652904
04/29,0.41849732
04/30,0.50147593
05/01,0.862568
05/02,0.90478593
05/03,0.57754606
05/04,0.6200588
05/05,0.7646928
05/06,0.76668996
05/07,0.28837514
05/08,0.45918158
05/09,0.2473536
05/10,0.49403173
05/11,1.1754782
05/12,1.6676649
05/13,1.6616149
05/14,1.5942401
05/15,1.5655482
05/16,1.265937
05/17,1.5698746
05/18,1.7181549
05/19,1.5230485
05/20,1.0988469
05/21,1.0271134
05/22,0.847184
05/23,1.1394383
05/24,1.4270735
05/25,1.6075414
05/26,1.7811311
05/27,2.2319634
05/28,1.783378
05/29,1.2637793
05/30,1.5044911
05/31,2.1882799
06/01,1.4421486
06/02,1.6487389
06/03,1.7638857
06/04,1.7589464
06/05,1.7068641
06/06,1.7020351
06/07,2.1822848
06/08,1.4789017
06/09,1.8126454
06/10,1.2538033
06/11,1.3745805
06/12,1.9563375
06/13,2.045776
06/14,1.9117935
06/15,1.503675
06/16,1.6821938
06/17,1.6299313
06/18,1.4666493
06/19,1.7150111
06/20,1.840179
06/21,1.9809487
06/22,2.1483552
06/23,1.8407024
06/24,1.6585732
06/25,1.7989181
06/26,2.0935972
06/27,2.1542614
06/28,1.9513947
06/29,1.3698993
06/30,1.5921139
07/01,1.9659008
07/02,1.7586474
07/03,1.5470861
07/04,1.6957424
07/05,1.2429359
07/06,1.6311107
07/07,1.3616614
07/08,1.0966532
07/09,1.6577374
07/10,1.8559221
07/11,1.9445114
07/12,2.102966
07/13,2.0984519
07/14,1.7657199
07/15,1.3425835
07/16,1.3671857
07/17,1.1828231
07/18,1.7706506
07/19,1.9290594
07/20,2.2792928
07/21,2.3611035
07/22,1.4937447
07/23,1.4260466
07/24,1.1268727
07/25,1.338429
07/26,1.5059805
07/27,1.6402835
07/28,1.823599
07/29,1.713304
07/30,1.8181901
07/31,1.9579165
08/01,2.1007395
08/02,1.7010343
08/03,1.590887
08/04,1.4349754
08/05,1.7566377
08/06,1.7236873
08/07,1.9958181
08/08,2.381225
08/09,2.3480704
08/10,2.505627
08/11,2.151973
08/12,2.237312
08/13,2.284733
08/14,2.5310597
08/15,2.5477104
08/16,2.027213
08/17,1.9118118
08/18,2.2294278
08/19,2.4830225
08/20,2.2887874
08/21,1.9795554
08/22,2.4868789
08/23,2.4219673
08/24,2.3845582
08/25,2.4764886
08/26,2.8152418
08/27,2.491552
08/28,2.171897
08/29,2.1489804
08/30,2.6608458
08/31,3.0103595
09/01,2.520426
09/02,2.468385
09/03,2.4923487
09/04,2.6368375
09/05,2.3415947
09/06,2.0682557
09/07,2.4567604
09/08,2.5484853
09/09,2.528873
09/10,2.6471198
09/11,2.4343715
09/12,2.3460221
09/13,2.6563609
09/14,2.6255252
09/15,2.5552194
09/16,2.904527
09/17,2.6722522
09/18,2.6122687
09/19,2.2432432
09/20,2.8033905
09/21,3.1487856
09/22,3.378575
09/23,3.7010481
09/24,3.6073668
09/25,3.0817504
09/26,2.8058634
09/27,2.8342779
09/28,2.5122108
09/29,2.4055872
09/30,2.2603638
10/01,2.3481326
10/02,2.7345176
10/03,2.8163192
10/04,2.6606061
10/05,2.5205913
10/06,2.3195548
10/07,2.4637532
10/08,2.7380013
10/09,2.9136724
10/10,2.6563456
10/11,3.0653427
10/12,3.2716124
10/13,2.5928853
10/14,2.54628
10/15,2.4828749
10/16,2.3757372
10/17,2.094687
10/18,2.112956
10/19,1.9391546
10/20,1.8886635
10/21,1.6918834
10/22,1.8917615
10/23,1.7336721
10/24,1.4651835
10/25,1.5758752
10/26,1.7181219
10/27,1.8030756
10/28,2.1676657
10/29,1.8088152
10/30,2.4598913
10/31,2.2303772
11/01,2.1250224
11/02,1.9338734
11/03,2.1310015
11/04,2.2446556
11/05,1.988482
11/06,1.7069564
11/07,1.8738223
11/08,2.2771416
11/09,1.9943596
11/10,1.8196115
11/11,1.6853949
11/12,1.5226532
11/13,2.085755
11/14,2.3608966
11/15,1.8918784
11/16,1.9883312
11/17,2.1013558
11/18,1.9536619
11/19,1.3526951
11/20,1.2563978
11/21,1.5167655
11/22,1.066789
11/23,0.95786566
11/24,0.8007928
11/25,1.4002745
11/26,1.32487
11/27,1.3860122
11/28,1.475702
11/29,1.4384983
11/30,1.5754921
12/01,1.0728135
12/02,0.29310042
12/03,0.88891935
12/04,0.76428974
12/05,0.25161743
12/06,-0.20469539
12/07,0.5970638
12/08,0.67462367
12/09,0.6479407
12/10,0.41461512
12/11,0.65984976
12/12,1.0404211
12/13,1.3177453
12/14,1.722462
12/15,0.32202402
12/16,0.37644556
12/17,0.73409706
12/18,0.5960078
12/19,-0.1416566
12/20,-0.103778146
12/21,-0.3031628
12/22,-0.02486242
12/23,-1.0359064
12/24,-0.6480365
12/25,-0.37618116
12/26,-0.3409436
12/27,0.17443626
12/28,0.029997718
12/29,-0.35663807
12/30,-0.19289172
12/31,-0.39701954
