time,uwind
01/01,-6.2732
01/02,-6.2302623
01/03,-6.2116117
01/04,-5.9626637
01/05,-6.0574045
01/06,-6.1349254
01/07,-6.156394
01/08,-6.1853666
01/09,-6.1543903
01/10,-6.1225224
01/11,-6.041976
01/12,-6.0326877
01/13,-5.855496
01/14,-5.84126
01/15,-5.976685
01/16,-5.8064737
01/17,-5.823443
01/18,-5.8421946
01/19,-5.627837
01/20,-5.8137817
01/21,-5.9316506
01/22,-6.013925
01/23,-6.1148276
01/24,-6.154047
01/25,-6.1875954
01/26,-6.1917562
01/27,-6.09907
01/28,-6.071403
01/29,-5.9694695
01/30,-6.060342
01/31,-5.9075346
02/01,-5.8107944
02/02,-6.028436
02/03,-5.667753
02/04,-5.83107
02/05,-6.0073223
02/06,-5.8737674
02/07,-5.9792104
02/08,-5.9431295
02/09,-5.8033543
02/10,-5.5947847
02/11,-5.713442
02/12,-5.829974
02/13,-5.859367
02/14,-5.626179
02/15,-5.527598
02/16,-5.503084
02/17,-5.70745
02/18,-5.719095
02/19,-5.6453643
02/20,-5.65982
02/21,-5.378757
02/22,-5.482562
02/23,-5.6505675
02/24,-5.5823674
02/25,-5.9370785
02/26,-5.9258657
02/27,-5.874337
02/28,-5.819231
02/29,-6.243245
03/01,-5.752189
03/02,-5.4096694
03/03,-5.681468
03/04,-5.998517
03/05,-6.0359306
03/06,-5.6477966
03/07,-5.6205864
03/08,-5.895401
03/09,-6.001095
03/10,-6.226159
03/11,-5.8465576
03/12,-5.488487
03/13,-5.6008015
03/14,-5.5240064
03/15,-5.4841456
03/16,-5.5493455
03/17,-5.63423
03/18,-5.870581
03/19,-5.7124786
03/20,-5.788944
03/21,-6.039195
03/22,-5.8117986
03/23,-5.550942
03/24,-5.7998133
03/25,-5.9553704
03/26,-5.957999
03/27,-5.9473176
03/28,-5.977252
03/29,-5.794967
03/30,-5.911916
03/31,-6.014217
04/01,-6.1162505
04/02,-6.3160925
04/03,-6.511038
04/04,-6.26824
04/05,-6.425145
04/06,-6.0915504
04/07,-6.116076
04/08,-6.045754
04/09,-5.839624
04/10,-5.9762263
04/11,-6.0128484
04/12,-6.0784116
04/13,-6.1372766
04/14,-6.264224
04/15,-6.3882623
04/16,-6.405953
04/17,-6.3595448
04/18,-6.2272205
04/19,-6.420666
04/20,-6.746894
04/21,-6.6303015
04/22,-6.672188
04/23,-6.6209073
04/24,-6.461657
04/25,-6.2366962
04/26,-6.1262593
04/27,-6.3551946
04/28,-6.212248
04/29,-6.4408746
04/30,-6.042004
05/01,-6.115237
05/02,-6.2877574
05/03,-6.2514477
05/04,-6.08143
05/05,-6.34447
05/06,-6.3780494
05/07,-6.435871
05/08,-6.211275
05/09,-6.323594
05/10,-6.6775165
05/11,-6.511389
05/12,-6.4771123
05/13,-6.583007
05/14,-6.4599643
05/15,-6.3316417
05/16,-6.242345
05/17,-6.275658
05/18,-6.177845
05/19,-6.047824
05/20,-5.8999047
05/21,-5.9199395
05/22,-5.6868944
05/23,-5.7420125
05/24,-6.135179
05/25,-6.2941585
05/26,-6.6424127
05/27,-6.5960994
05/28,-6.4437466
05/29,-6.5717597
05/30,-6.686352
05/31,-6.8009486
06/01,-6.9284787
06/02,-6.855516
06/03,-6.607596
06/04,-6.6938567
06/05,-6.7020035
06/06,-6.873707
06/07,-6.8127074
06/08,-6.6720757
06/09,-6.334274
06/10,-6.4201894
06/11,-6.3546023
06/12,-6.1888676
06/13,-6.393292
06/14,-6.5345573
06/15,-6.9609733
06/16,-6.9860315
06/17,-6.8353844
06/18,-7.0043015
06/19,-7.0803742
06/20,-7.0044847
06/21,-6.7910457
06/22,-6.7366047
06/23,-6.745579
06/24,-6.9203763
06/25,-6.950802
06/26,-6.741019
06/27,-6.7647524
06/28,-6.977075
06/29,-6.691832
06/30,-6.997892
07/01,-6.9075527
07/02,-6.9820347
07/03,-6.991361
07/04,-7.2222257
07/05,-7.035849
07/06,-7.074904
07/07,-6.90293
07/08,-6.814148
07/09,-6.9081903
07/10,-6.4821935
07/11,-6.3264008
07/12,-6.683952
07/13,-6.8336115
07/14,-6.716537
07/15,-6.9571843
07/16,-6.9081507
07/17,-7.120909
07/18,-7.199222
07/19,-6.998224
07/20,-6.789316
07/21,-6.775052
07/22,-7.2337565
07/23,-7.313362
07/24,-7.428279
07/25,-7.111075
07/26,-6.6190233
07/27,-6.3733597
07/28,-6.706917
07/29,-6.943184
07/30,-7.2039213
07/31,-7.3211117
08/01,-7.2881837
08/02,-7.4280367
08/03,-7.446899
08/04,-7.37928
08/05,-7.142952
08/06,-7.1146946
08/07,-6.953419
08/08,-6.7017765
08/09,-6.7594204
08/10,-6.764705
08/11,-6.7578564
08/12,-6.819283
08/13,-6.5430675
08/14,-6.6315227
08/15,-6.7526417
08/16,-6.83764
08/17,-7.0709767
08/18,-7.050904
08/19,-6.9989915
08/20,-6.833526
08/21,-6.8289003
08/22,-6.771093
08/23,-6.843634
08/24,-6.6619716
08/25,-6.6870236
08/26,-6.6452026
08/27,-6.6485014
08/28,-6.750673
08/29,-6.7899966
08/30,-6.7108393
08/31,-6.874584
09/01,-6.96947
09/02,-7.016506
09/03,-6.7371864
09/04,-6.695055
09/05,-6.6085787
09/06,-6.7806077
09/07,-7.021445
09/08,-7.1024427
09/09,-7.219342
09/10,-7.1533623
09/11,-7.280513
09/12,-7.3038707
09/13,-6.991811
09/14,-7.0623283
09/15,-6.9373116
09/16,-6.812478
09/17,-6.6504707
09/18,-6.4624453
09/19,-6.447919
09/20,-6.5122
09/21,-6.6605787
09/22,-6.4818606
09/23,-6.4870086
09/24,-6.5904403
09/25,-6.598031
09/26,-6.5941396
09/27,-6.75805
09/28,-6.943664
09/29,-6.9200253
09/30,-6.865466
10/01,-6.8678856
10/02,-6.832737
10/03,-6.9039917
10/04,-6.872635
10/05,-7.0496235
10/06,-6.7846203
10/07,-6.7515125
10/08,-6.6507573
10/09,-7.0250654
10/10,-6.9907002
10/11,-6.9782696
10/12,-6.9124722
10/13,-6.7508225
10/14,-6.8019657
10/15,-6.900837
10/16,-6.8322415
10/17,-6.934177
10/18,-6.833672
10/19,-6.660658
10/20,-6.6015058
10/21,-6.6470494
10/22,-6.8299327
10/23,-6.592075
10/24,-6.628203
10/25,-6.8206363
10/26,-6.7942624
10/27,-6.639284
10/28,-6.632461
10/29,-6.7268085
10/30,-6.606831
10/31,-6.592261
11/01,-6.5410004
11/02,-6.5476794
11/03,-6.6599445
11/04,-6.5174456
11/05,-6.5762715
11/06,-6.6106877
11/07,-6.555563
11/08,-6.7887797
11/09,-6.9034467
11/10,-6.681761
11/11,-6.5602746
11/12,-6.802336
11/13,-6.5686355
11/14,-6.543453
11/15,-6.6253023
11/16,-6.4259143
11/17,-6.4133797
11/18,-6.4835014
11/19,-6.4224033
11/20,-6.3937516
11/21,-6.3089576
11/22,-6.467492
11/23,-6.6606436
11/24,-6.64181
11/25,-6.68579
11/26,-6.9857507
11/27,-6.724552
11/28,-6.5015445
11/29,-6.682125
11/30,-6.661529
12/01,-6.62672
12/02,-6.602105
12/03,-6.4379826
12/04,-6.548374
12/05,-6.549633
12/06,-6.7612424
12/07,-6.6216626
12/08,-6.679147
12/09,-6.6891966
12/10,-6.637501
12/11,-6.5499277
12/12,-6.512437
12/13,-6.4505334
12/14,-6.4030404
12/15,-6.2407727
12/16,-6.340262
12/17,-6.4516926
12/18,-6.518906
12/19,-6.561617
12/20,-6.204612
12/21,-6.376852
12/22,-6.4365826
12/23,-6.159384
12/24,-5.9954176
12/25,-6.082316
12/26,-6.212698
12/27,-6.4093823
12/28,-6.4978237
12/29,-6.2663827
12/30,-6.3236876
12/31,-6.3568335
