time,uwind
01/01,1.9706866
01/02,1.517942
01/03,1.0039362
01/04,1.4916898
01/05,1.2823912
01/06,1.0462309
01/07,1.1273528
01/08,1.161317
01/09,1.9170729
01/10,1.5461831
01/11,1.8195138
01/12,2.2612877
01/13,1.8566232
01/14,1.6952548
01/15,1.1219741
01/16,1.1024755
01/17,0.95319945
01/18,1.1251575
01/19,1.5898504
01/20,1.5394248
01/21,1.6637944
01/22,1.8572288
01/23,2.1372762
01/24,2.3636477
01/25,2.8085086
01/26,2.7958558
01/27,2.8292024
01/28,2.3647013
01/29,2.8811834
01/30,2.4662702
01/31,2.507312
02/01,2.2680662
02/02,2.2974145
02/03,2.034805
02/04,1.2635006
02/05,1.3811165
02/06,0.6620838
02/07,0.69624305
02/08,0.5827484
02/09,0.9836951
02/10,1.2959929
02/11,1.2949296
02/12,1.3976355
02/13,1.6380731
02/14,1.3756636
02/15,1.5924224
02/16,1.9685829
02/17,1.0882772
02/18,1.7336189
02/19,1.6409945
02/20,1.6548011
02/21,1.4664222
02/22,2.2779524
02/23,2.3666034
02/24,1.7775196
02/25,1.450512
02/26,1.1961994
02/27,1.3174378
02/28,1.1015418
02/29,1.5382332
03/01,1.4135975
03/02,1.3639307
03/03,0.65571594
03/04,1.2629864
03/05,1.8397539
03/06,2.041553
03/07,2.1938
03/08,2.3713357
03/09,2.1871989
03/10,1.9946806
03/11,2.0103168
03/12,1.318141
03/13,0.6557323
03/14,-0.17472734
03/15,0.3560009
03/16,0.19682646
03/17,-0.7661204
03/18,-0.7365276
03/19,-0.59276515
03/20,-0.6016509
03/21,-0.22334799
03/22,-0.15987659
03/23,0.22890551
03/24,-0.3164681
03/25,-0.2506746
03/26,-0.36640817
03/27,-0.8906532
03/28,-0.9908416
03/29,0.15688223
03/30,-0.53211695
03/31,-1.0446204
04/01,-1.012932
04/02,-0.7472688
04/03,-0.22108415
04/04,-0.20031604
04/05,0.46217322
04/06,0.470886
04/07,0.055163562
04/08,-1.0591155
04/09,-1.3856901
04/10,-1.6881012
04/11,-1.4729141
04/12,-1.6221504
04/13,-1.6126888
04/14,-1.2495923
04/15,-1.0334864
04/16,-0.69945455
04/17,-1.2896343
04/18,-0.90134346
04/19,-0.8725119
04/20,-1.3843082
04/21,-0.8811449
04/22,-1.7020805
04/23,-1.2346251
04/24,-1.8708063
04/25,-2.256861
04/26,-2.2258854
04/27,-1.9759519
04/28,-1.8477157
04/29,-1.8533084
04/30,-1.4753178
05/01,-1.1127427
05/02,-1.3628576
05/03,-1.9109943
05/04,-2.4285095
05/05,-1.8130602
05/06,-1.3276888
05/07,-1.5067874
05/08,-1.7821381
05/09,-2.6731057
05/10,-2.56214
05/11,-2.4048076
05/12,-2.4167552
05/13,-1.370444
05/14,-1.8008091
05/15,-1.7441413
05/16,-1.8209822
05/17,-2.26176
05/18,-1.2140175
05/19,-1.3596992
05/20,-2.2992525
05/21,-1.8504175
05/22,-2.6573987
05/23,-2.919987
05/24,-3.330925
05/25,-2.3862967
05/26,-2.893996
05/27,-2.7241461
05/28,-3.271003
05/29,-3.1095784
05/30,-3.0782833
05/31,-3.1107154
06/01,-2.8862062
06/02,-2.9841876
06/03,-3.1563067
06/04,-3.2238746
06/05,-3.8992355
06/06,-4.4138002
06/07,-3.6805012
06/08,-4.0090566
06/09,-4.0635524
06/10,-3.7695994
06/11,-3.4317126
06/12,-3.9135723
06/13,-3.7614307
06/14,-4.436788
06/15,-5.1782794
06/16,-5.080162
06/17,-4.1889677
06/18,-3.4405859
06/19,-3.7013001
06/20,-4.0639396
06/21,-3.9590023
06/22,-3.8358274
06/23,-4.0145235
06/24,-4.0825
06/25,-4.1771464
06/26,-4.235314
06/27,-4.147112
06/28,-3.8236895
06/29,-4.3220277
06/30,-4.467404
07/01,-4.0535398
07/02,-3.9625876
07/03,-3.8124251
07/04,-4.20413
07/05,-4.1207366
07/06,-4.1735578
07/07,-5.3841596
07/08,-4.7993326
07/09,-4.0274863
07/10,-4.2827477
07/11,-3.5006826
07/12,-3.6086106
07/13,-5.1544323
07/14,-4.85704
07/15,-4.280423
07/16,-4.855603
07/17,-4.900704
07/18,-4.418534
07/19,-4.73272
07/20,-4.714507
07/21,-5.1507864
07/22,-4.3740025
07/23,-4.2719417
07/24,-4.3144116
07/25,-5.268315
07/26,-5.178969
07/27,-4.4755445
07/28,-4.442057
07/29,-4.195048
07/30,-4.4278855
07/31,-4.227516
08/01,-4.397841
08/02,-4.2487698
08/03,-4.481357
08/04,-4.9832892
08/05,-4.371802
08/06,-3.7973015
08/07,-3.2413268
08/08,-3.4396923
08/09,-4.031617
08/10,-4.886289
08/11,-4.7056804
08/12,-4.396954
08/13,-4.1197386
08/14,-4.1124444
08/15,-4.058586
08/16,-3.7645836
08/17,-4.2836328
08/18,-4.869907
08/19,-4.8098335
08/20,-4.3916698
08/21,-4.464757
08/22,-4.762996
08/23,-5.4403615
08/24,-5.2540545
08/25,-4.998356
08/26,-5.223514
08/27,-5.273088
08/28,-5.11037
08/29,-4.5294313
08/30,-4.381319
08/31,-4.9274054
09/01,-4.956567
09/02,-4.658641
09/03,-4.1543355
09/04,-3.7999392
09/05,-4.5009427
09/06,-4.314294
09/07,-3.6196907
09/08,-2.844661
09/09,-2.9263496
09/10,-3.9598427
09/11,-3.9942713
09/12,-3.3841
09/13,-3.6441922
09/14,-4.4428096
09/15,-4.187165
09/16,-3.9567966
09/17,-3.7629411
09/18,-3.7347457
09/19,-3.4295554
09/20,-3.9829102
09/21,-3.8535388
09/22,-3.8200707
09/23,-3.4309742
09/24,-4.3112154
09/25,-4.1786222
09/26,-3.6249354
09/27,-4.0558147
09/28,-3.7963665
09/29,-3.6366978
09/30,-3.8961573
10/01,-3.6445465
10/02,-3.6187704
10/03,-3.8169394
10/04,-2.511388
10/05,-2.2834847
10/06,-2.7823236
10/07,-3.801349
10/08,-3.4636075
10/09,-2.7279274
10/10,-2.7944455
10/11,-3.6199155
10/12,-3.1483698
10/13,-3.438423
10/14,-3.2958486
10/15,-3.514083
10/16,-2.8623688
10/17,-2.984742
10/18,-3.004988
10/19,-2.3532453
10/20,-2.7598102
10/21,-2.6969628
