time,vwind
01/01,-0.024663502
01/02,0.34107095
01/03,0.28284875
01/04,-0.17588855
01/05,0.07705504
01/06,-0.19253768
01/07,0.0731324
01/08,0.13805953
01/09,0.20470408
01/10,0.3946879
01/11,0.19278014
01/12,-0.30272043
01/13,-0.42085075
01/14,0.09624887
01/15,-0.07226483
01/16,-0.10330138
01/17,-0.63008267
01/18,-0.4627001
01/19,-0.22487682
01/20,-0.013289994
01/21,-0.25209218
01/22,-0.9633293
01/23,-0.6847406
01/24,-0.62056786
01/25,-1.1222576
01/26,-0.3987207
01/27,-0.21295422
01/28,-0.5413348
01/29,-0.67378324
01/30,-0.7424736
01/31,-0.7645037
02/01,-0.7382801
02/02,-0.17137681
02/03,-0.9429539
02/04,-0.8059931
02/05,-0.8136326
02/06,-1.2137854
02/07,-0.8700139
02/08,-0.7671317
02/09,-0.8736254
02/10,-0.97574526
02/11,-0.3448894
02/12,-0.86064655
02/13,-1.0814022
02/14,-1.0337499
02/15,-1.1137851
02/16,-0.61097246
02/17,-0.5963001
02/18,-1.1386969
02/19,-0.9186689
02/20,-0.36017853
02/21,-0.500756
02/22,-1.118991
02/23,-0.7678956
02/24,-0.85064805
02/25,-0.33688158
02/26,-0.42885736
02/27,-0.4402984
02/28,-0.26170942
02/29,0.30950207
03/01,-0.95728636
03/02,-0.76831186
03/03,-0.6370418
03/04,-0.6245216
03/05,-0.047055904
03/06,0.056151196
03/07,0.23883244
03/08,0.1345616
03/09,0.050490703
03/10,0.05777317
03/11,-0.037647143
03/12,-0.38997805
03/13,-0.36268222
03/14,0.09547639
03/15,-0.2143303
03/16,-0.28450224
03/17,-0.3632407
03/18,-0.4888527
03/19,-0.5636831
03/20,-0.5174965
03/21,-0.6407666
03/22,-0.5254832
03/23,-0.53358465
03/24,-0.48032874
03/25,-0.19040446
03/26,-0.25140646
03/27,-0.5731196
03/28,-0.51661676
03/29,-0.67688715
03/30,-0.47775257
03/31,-0.63315594
04/01,-1.3816612
04/02,-1.4152526
04/03,-1.3977449
04/04,-1.3322076
04/05,-0.7020762
04/06,-0.6683592
04/07,-0.2153154
04/08,-0.5517472
04/09,-1.1467738
04/10,-0.45502624
04/11,-0.30958968
04/12,-0.5998479
04/13,-1.1955539
04/14,-1.3020692
04/15,-0.9706573
04/16,-0.27748352
04/17,-0.3979825
04/18,-0.673866
04/19,-0.36714804
04/20,-0.70028424
04/21,-0.582404
04/22,-0.29796115
04/23,-0.7523766
04/24,-0.68169683
04/25,-0.37099096
04/26,-0.43738192
04/27,-0.6406054
04/28,-0.7069622
04/29,-0.34196246
04/30,-0.4560669
05/01,-1.0380477
05/02,-0.72665113
05/03,0.15433127
05/04,0.17712015
05/05,-0.07594867
05/06,-0.5848657
05/07,-0.02632197
05/08,-0.12290909
05/09,-0.191808
05/10,0.30005214
05/11,0.390789
05/12,0.0902504
05/13,0.6011305
05/14,0.2829777
05/15,-0.8513906
05/16,-0.33553
05/17,0.63015085
05/18,0.77340317
