time,vwind
01/01,-1.5714285
01/02,-1.7285714
01/03,-1.695238
01/04,-1.4095238
01/05,-1.2142857
01/06,-1.0238096
01/07,-1.0666666
01/08,-1.3
01/09,-1.2047619
01/10,-1.435
01/11,-1.1571429
01/12,-0.9666667
01/13,-1.4714285
01/14,-1.3619047
01/15,-0.9857143
01/16,-1.1190476
01/17,-1.8857142
01/18,-1.9285715
01/19,-1.4333334
01/20,-1.695238
01/21,-1.985
01/22,-1.8619047
01/23,-1.2619047
01/24,-1.695238
01/25,-2.5285714
01/26,-2.6
01/27,-2.6904762
01/28,-2.7285714
01/29,-2.0952382
01/30,-2.0380952
01/31,-2.0285714
02/01,-2.2238095
02/02,-2.0952382
02/03,-2.0666668
02/04,-1.8299999
02/05,-1.6631579
02/06,-1.8449999
02/07,-1.4449999
02/08,-2.0190477
02/09,-1.3380953
02/10,-1.9714286
02/11,-2.295238
02/12,-1.7238096
02/13,-1.9000001
02/14,-1.4285715
02/15,-1.4157895
02/16,-1.8736842
02/17,-1.9736842
02/18,-2.1105263
02/19,-1.6315789
02/20,-1.6631579
02/21,-1.8368422
02/22,-1.1722221
02/23,-1.4421053
02/24,-1.52
02/25,-2.0049999
02/26,-2.19
02/27,-2.215
02/28,-2.215
02/29,-2.3
03/01,-1.8700001
03/02,-1.65
03/03,-1.6850001
03/04,-1.245
03/05,-2.1100001
03/06,-2.17
03/07,-1.885
03/08,-1.8799999
03/09,-1.8523809
03/10,-2.1095238
03/11,-2.209524
03/12,-1.4499999
03/13,-1.1272727
03/14,-1.75
03/15,-1.6227273
03/16,-1.1590909
03/17,-1.2590909
03/18,-1.3428571
03/19,-1.1086956
03/20,-1.3521738
03/21,-1.4708333
03/22,-1.6826087
03/23,-1.5826088
03/24,-0.8181818
03/25,-0.8681818
03/26,-1.3173913
03/27,-1.2521739
03/28,-1.0652174
03/29,-1.4347826
03/30,-1.1434783
03/31,-0.626087
04/01,-0.2043478
04/02,-0.46818182
04/03,-0.9347826
04/04,-0.99130434
04/05,-1.4
04/06,-1.6863636
04/07,-1.5363636
04/08,-0.55
04/09,-0.85
04/10,0.05454544
04/11,-0.66190475
04/12,-0.8681818
04/13,0.24999996
04/14,0.21363635
04/15,-0.9045454
04/16,-0.37727273
04/17,-0.41818187
04/18,-0.6545454
04/19,-0.82272726
04/20,-0.9619048
04/21,-0.2
04/22,-0.6727273
04/23,-1.0318183
04/24,-0.8363636
04/25,0.052380964
04/26,-0.10999999
04/27,-0.10952382
04/28,-0.18095237
04/29,-0.27619043
04/30,-0.24285714
05/01,-0.37272727
05/02,-0.095454566
05/03,0.19545455
05/04,0.12272727
05/05,0.04999999
05/06,0.53636366
05/07,0.53636366
05/08,0.8727272
05/09,0.54545456
05/10,0.39545453
05/11,0.5772727
05/12,-0.23636363
05/13,0.16363636
05/14,0.109090894
05/15,0.047619063
05/16,-0.019047633
05/17,0.0047619045
05/18,-0.4047619
05/19,-0.6047619
05/20,-0.019047601
05/21,0.004761923
05/22,-0.1047619
05/23,0.90952384
05/24,0.5142857
05/25,0.042857148
05/26,0.13809524
05/27,0.43333334
05/28,0.32857147
05/29,-0.43809524
05/30,-0.16666667
05/31,0.58095235
06/01,0.43809524
06/02,-0.14285712
06/03,0.2761905
06/04,0.2952381
06/05,0.53333336
06/06,0.46000004
06/07,0.37619048
06/08,0.55714285
06/09,1.1380953
06/10,0.71904767
06/11,1.0904762
06/12,0.91428566
06/13,1.155
06/14,0.43157893
06/15,1.2789474
06/16,1.5210527
06/17,0.4473684
06/18,-0.17368424
06/19,0.6789473
06/20,1.0473685
06/21,1.4210526
06/22,1.4157895
06/23,0.49473682
06/24,0.9105263
06/25,-0.050000012
06/26,0.34736842
06/27,-0.15263163
06/28,0.20526314
06/29,0.6421053
06/30,1.1263157
07/01,1.2631578
07/02,1.9157896
07/03,2.038889
07/04,1.3277777
07/05,1.2111111
07/06,1.1222223
07/07,1.0999999
07/08,0.5388889
07/09,0.39444444
07/10,0.9722222
07/11,0.6166666
07/12,1.0055556
07/13,1.2333333
07/14,1.7444445
07/15,1.8777777
07/16,1.3944445
07/17,1.3117647
07/18,1.3722222
07/19,1.4833333
07/20,1.9833333
07/21,2.0944445
07/22,1.2666668
07/23,1.1722223
07/24,1.2888889
07/25,0.6888889
07/26,0.8833333
07/27,0.9333333
07/28,1.7411765
07/29,1.2
07/30,1.8222222
07/31,2.4499998
08/01,2.2722223
08/02,0.65
08/03,0.7277778
08/04,0.9333333
08/05,1.2611111
08/06,1.8166667
08/07,1.5999999
08/08,2.0722222
08/09,2.8941176
08/10,3.1999998
08/11,2.9894736
08/12,1.8842105
08/13,2.4894736
08/14,2.5526316
08/15,2.6894736
08/16,2.3263159
08/17,1.9263157
08/18,1.9052632
08/19,2.3736842
08/20,2.063158
08/21,1.2631578
08/22,0.9578948
08/23,1.1842105
08/24,1.17
08/25,1.8700001
08/26,2.405
08/27,1.475
08/28,1.4380952
08/29,1.8523809
08/30,1.652381
08/31,1.4476191
09/01,1.3571428
09/02,1.8809524
09/03,2.0761905
09/04,1.9666666
09/05,1.8285713
09/06,1.9000001
09/07,2.0142856
09/08,1.68
09/09,1.7049999
09/10,1.495
09/11,1.6850001
09/12,2.01
09/13,2.6761906
09/14,2.1714284
09/15,1.2428572
09/16,1.147619
09/17,1.3619047
09/18,1.6333333
09/19,1.2238095
09/20,1.1619047
09/21,1.5200001
09/22,1.2238096
09/23,1.7285714
09/24,1.89
09/25,0.765
09/26,0.55789477
09/27,1.505
09/28,2.21
09/29,2.1799998
09/30,0.93
10/01,0.72
10/02,0.95
10/03,1.08
10/04,1.0049999
10/05,0.76
10/06,0.59000003
10/07,0.73999995
10/08,0.66999996
10/09,1.01
10/10,1.9052632
