time,vwind
01/01,-2.4628692
01/02,-2.1649354
01/03,-2.7841108
01/04,-2.3646076
01/05,-2.8321655
01/06,-2.6133335
01/07,-3.1784973
01/08,-3.3217704
01/09,-2.79504
01/10,-2.1783495
01/11,-2.960873
01/12,-3.2373483
01/13,-3.2145104
01/14,-2.9711928
01/15,-3.0318995
01/16,-3.1628234
01/17,-3.4739273
01/18,-3.0272024
01/19,-3.2080867
01/20,-3.343267
01/21,-3.1329186
01/22,-3.3153872
01/23,-3.2067394
01/24,-3.1840055
01/25,-3.9189045
01/26,-3.1653373
01/27,-2.9623144
01/28,-2.7271233
01/29,-3.100294
01/30,-2.9883301
01/31,-3.42845
02/01,-2.9309008
02/02,-3.0624645
02/03,-2.4981089
02/04,-2.565786
02/05,-3.0932136
02/06,-3.2358422
02/07,-2.7199612
02/08,-2.7813432
02/09,-3.3162131
02/10,-2.8830347
02/11,-2.6115553
02/12,-2.3475335
02/13,-2.5500839
02/14,-2.452464
02/15,-3.0169108
02/16,-3.1832895
02/17,-3.0941951
02/18,-3.3188796
02/19,-3.6246378
02/20,-3.079907
02/21,-2.6386406
02/22,-2.8415468
02/23,-2.4682176
02/24,-1.5952921
02/25,-1.9829221
02/26,-2.331185
02/27,-2.6596334
02/28,-2.3306108
02/29,-1.5192374
03/01,-2.4173663
03/02,-2.7158365
03/03,-2.409095
03/04,-2.4802115
03/05,-2.5501988
03/06,-2.3472703
03/07,-2.9360938
03/08,-2.464739
03/09,-1.9927342
03/10,-2.157085
03/11,-1.9338492
03/12,-2.343018
03/13,-2.5926712
03/14,-2.5501797
03/15,-2.4668138
03/16,-1.9062836
03/17,-1.6325933
03/18,-1.6016879
03/19,-1.596152
03/20,-1.9396478
03/21,-2.181804
03/22,-2.159773
03/23,-1.9151676
03/24,-1.702957
03/25,-1.4683963
03/26,-1.7346983
03/27,-2.2017906
03/28,-1.9748541
03/29,-1.8912259
03/30,-1.4672204
03/31,-0.8396063
04/01,-1.435768
04/02,-1.9452491
04/03,-1.6315999
04/04,-1.5905032
04/05,-1.7822294
04/06,-1.3066597
04/07,-1.0717434
04/08,-1.2658037
04/09,-1.4692312
04/10,-1.407848
04/11,-0.9405513
04/12,-1.2373654
04/13,-1.8241034
04/14,-1.8273865
04/15,-1.2792622
04/16,-0.85896665
04/17,-1.4323096
04/18,-1.5092448
04/19,-1.4088413
04/20,-1.525988
04/21,-1.16502
04/22,-1.5795637
04/23,-1.1937891
04/24,-1.0408037
04/25,-0.89457315
04/26,-0.8183617
04/27,-1.5046444
04/28,-1.2340486
04/29,-1.2555289
04/30,-1.5428149
05/01,-1.3308471
05/02,-0.44545197
05/03,-0.3245817
05/04,-0.6764143
05/05,-1.0589422
05/06,-0.9230359
05/07,-0.7923469
05/08,-1.0346991
05/09,-1.5662904
05/10,-1.0556105
05/11,-1.2175323
05/12,-1.3904834
05/13,-0.5461669
05/14,-1.056379
05/15,-1.6556944
05/16,-0.92309237
05/17,-0.72200906
05/18,-0.3248603
05/19,-1.3709133
05/20,-1.2522112
05/21,-1.5748321
05/22,-1.1169893
05/23,-0.6013642
05/24,-0.5603572
05/25,-0.6901302
05/26,-0.87432367
05/27,-0.27646306
05/28,-0.51581347
05/29,-0.21700864
05/30,-1.1476121
05/31,-0.6657168
06/01,-1.2394078
06/02,-0.60278314
06/03,-0.4499014
06/04,-1.1038413
06/05,-0.6494074
06/06,-0.63520235
06/07,-0.8407748
06/08,-0.16219224
06/09,-0.15630303
06/10,0.014389014
06/11,-0.15047203
06/12,-1.0244238
06/13,-0.702277
06/14,0.24429868
06/15,0.11802877
06/16,-0.2900628
06/17,-0.23369919
06/18,-0.083508395
06/19,0.1805039
06/20,-0.21513928
06/21,-0.47461355
06/22,-0.051001366
06/23,-0.36976913
06/24,0.065808326
06/25,-0.054363593
06/26,-0.13653125
06/27,-0.17951675
06/28,-0.6825984
06/29,-0.14298314
06/30,-0.37265748
07/01,-0.108498834
07/02,-0.32306674
07/03,-0.8878178
07/04,-0.92895526
07/05,0.03070581
07/06,-0.33124542
07/07,-0.3262179
07/08,-0.73326087
07/09,-0.07944587
07/10,-0.042419504
07/11,0.27827007
07/12,-0.13508062
07/13,0.18873487
07/14,-0.14932726
07/15,-0.057777222
07/16,-0.0028564117
07/17,0.41961312
07/18,-0.014585834
07/19,0.31088552
07/20,0.092468426
07/21,-0.2216184
07/22,0.13212171
07/23,-0.024257105
07/24,-0.209029
07/25,0.1218308
07/26,0.22228904
07/27,0.36532104
07/28,0.18575521
07/29,-0.38681132
07/30,-0.49666953
07/31,-0.05096974
08/01,0.055330638
08/02,0.019015735
08/03,-0.123548485
08/04,-0.31246355
08/05,-0.12290944
08/06,-0.03353141
08/07,-0.57510453
08/08,-0.009052214
08/09,-0.18605334
08/10,-0.39988506
08/11,-0.09191628
08/12,-0.4785296
08/13,-0.04654394
08/14,-0.18646522
08/15,-0.5831427
08/16,-0.96974456
08/17,-0.5712104
08/18,-0.5628418
08/19,-1.1510814
08/20,-0.43524835
08/21,-0.08904219
08/22,-0.19778638
08/23,-0.10797225
08/24,-0.53260905
08/25,-0.1262851
08/26,-0.2724663
08/27,-0.37122396
08/28,-0.32478765
08/29,-0.30956507
08/30,-0.18762504
08/31,-0.22407329
09/01,-0.038588524
09/02,-1.117736
09/03,-0.819697
09/04,-0.19270778
09/05,-0.08822111
09/06,0.15379371
09/07,-1.2113497
09/08,-0.6106358
09/09,0.078403465
09/10,0.19339585
09/11,-0.037469603
09/12,-0.7697695
09/13,-1.0678452
09/14,-0.7014169
09/15,-0.484531
09/16,-0.8851787
09/17,-0.9321753
09/18,-0.5031043
09/19,-0.4197919
09/20,-0.93409157
09/21,-0.9245948
09/22,-0.62145907
09/23,-0.7659924
09/24,-0.61782175
09/25,-0.6982689
09/26,-0.2935528
09/27,-0.15383002
09/28,-0.61064786
09/29,-0.4548724
09/30,-0.7345948
10/01,-0.07835244
10/02,-0.39599672
10/03,-0.86507004
10/04,-0.7645735
10/05,-0.3307368
10/06,-0.17612383
10/07,-0.77023154
10/08,-0.51603335
10/09,-0.5997995
10/10,-1.0163736
10/11,-1.3157812
10/12,-1.1193668
10/13,-1.4423459
10/14,-1.4356891
10/15,-1.1960777
10/16,-1.2849633
10/17,-1.4109821
10/18,-1.0657331
10/19,-1.7854254
10/20,-1.4814291
10/21,-0.6800304
10/22,-0.778663
10/23,-1.6616527
10/24,-1.5024651
10/25,-0.7188121
10/26,-1.1496642
10/27,-1.6371696
10/28,-1.4383861
10/29,-1.3995134
10/30,-1.6467313
10/31,-2.0637853
11/01,-1.641232
11/02,-0.8954735
11/03,-1.4341785
11/04,-1.827848
11/05,-1.3690195
11/06,-1.0840198
11/07,-1.7915154
11/08,-2.4013834
11/09,-1.8057613
11/10,-1.1106908
11/11,-1.0507578
11/12,-2.1268613
11/13,-2.007918
11/14,-1.5616193
11/15,-1.0020059
11/16,-1.3762348
11/17,-1.6593239
11/18,-1.3242067
11/19,-0.93297344
11/20,-1.1197014
11/21,-1.8783251
11/22,-1.8356223
11/23,-1.9960359
11/24,-2.053059
11/25,-1.8340564
11/26,-2.4019659
11/27,-2.827496
11/28,-1.7023661
11/29,-1.4590243
11/30,-1.5596063
12/01,-1.9869949
12/02,-1.9956338
12/03,-1.7560735
12/04,-1.7605985
12/05,-2.7326853
12/06,-2.4393637
12/07,-1.8205988
12/08,-1.7582772
12/09,-2.169044
12/10,-2.733379
12/11,-2.8738937
12/12,-2.453066
12/13,-2.1776392
12/14,-1.7749492
12/15,-2.8903027
12/16,-2.567714
12/17,-2.1144016
12/18,-2.1916773
12/19,-2.3886015
12/20,-2.1729548
12/21,-2.1473365
12/22,-1.9126881
12/23,-1.8642691
12/24,-2.1981258
12/25,-3.012133
12/26,-3.0316343
12/27,-2.430428
12/28,-2.9362607
12/29,-2.7673054
12/30,-2.966824
12/31,-2.6470685
