time,vwind
01/01,-3.697354
01/02,-3.5306585
01/03,-3.2354586
01/04,-3.3145561
01/05,-3.0098395
01/06,-3.4441392
01/07,-3.012413
01/08,-3.5292912
01/09,-3.366289
01/10,-3.062103
01/11,-3.2689123
01/12,-3.5094573
01/13,-3.3659608
01/14,-3.774669
01/15,-3.0881557
01/16,-3.0467374
01/17,-3.50353
01/18,-3.6534247
01/19,-3.2514155
01/20,-2.7168658
01/21,-3.567926
01/22,-3.6946342
01/23,-3.86173
01/24,-3.2020247
01/25,-3.6299713
01/26,-3.8495855
01/27,-3.9843132
01/28,-3.8772051
01/29,-3.7489505
01/30,-3.6672294
01/31,-3.2590504
02/01,-3.818262
02/02,-3.593991
02/03,-3.953206
02/04,-3.72745
02/05,-3.2040846
02/06,-2.808232
02/07,-3.469419
02/08,-3.190745
02/09,-2.9392478
02/10,-3.2539756
02/11,-3.4939
02/12,-3.4733164
02/13,-3.6304297
02/14,-3.7027953
02/15,-3.9175553
02/16,-3.990463
02/17,-3.5697122
02/18,-3.0061822
02/19,-3.59763
02/20,-3.6209524
02/21,-3.3765478
02/22,-3.3538208
02/23,-3.333233
02/24,-3.0860307
02/25,-3.0497603
02/26,-3.1847332
02/27,-3.0593567
02/28,-3.1781342
02/29,-3.4110475
03/01,-3.2740471
03/02,-3.3606598
03/03,-3.447959
03/04,-3.4707346
03/05,-3.2822275
03/06,-3.132496
03/07,-2.974822
03/08,-3.467365
03/09,-3.5169163
03/10,-3.3605802
03/11,-3.375028
03/12,-2.7815883
03/13,-2.6230767
03/14,-2.732682
03/15,-3.1228495
03/16,-2.7647762
03/17,-2.4984174
03/18,-2.5926676
03/19,-2.4225974
03/20,-2.3045294
03/21,-2.884839
03/22,-2.9406128
03/23,-3.0313675
03/24,-3.15552
03/25,-2.899505
03/26,-3.0311878
03/27,-2.4532242
03/28,-2.7197382
03/29,-3.212001
03/30,-2.902495
03/31,-2.549146
04/01,-2.3834705
04/02,-2.6946638
04/03,-2.7967474
04/04,-2.8888903
04/05,-2.9211783
04/06,-2.925273
04/07,-2.5547345
04/08,-2.1877708
04/09,-2.698116
04/10,-2.689902
04/11,-2.442601
04/12,-1.9855756
04/13,-1.8377423
04/14,-2.3071902
04/15,-2.545419
04/16,-2.5747766
04/17,-3.017152
04/18,-2.5951622
04/19,-2.4797227
04/20,-2.2083979
04/21,-2.0537236
04/22,-2.0934892
04/23,-2.5685773
04/24,-2.20289
04/25,-1.8763406
04/26,-1.8053416
04/27,-2.2481031
04/28,-2.2110422
04/29,-1.9387428
04/30,-2.2344193
05/01,-2.1446908
05/02,-1.8896985
05/03,-1.8223908
05/04,-2.2718835
05/05,-2.2654057
05/06,-2.546165
05/07,-1.8428268
05/08,-1.7995266
